C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST18:35:47

Vmag <   6 & cat = '*' &
(pm <   0 | pm   > 0) &
(plx   > 0 | plx <   0) &
(radvel   > 0 | radvel <   0)
-----------------------------------------------------------------------------------------------------------

Number of objects : 2885

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
692 ;* 137 Tau                          ;a2*;088.0928809723700 +14.1717856629400; -17.806 -3.153     ;6.8553    ;-4.4       ;5.586    
693 ;* 134 Tau                          ;*  ;087.3872072596 +12.6513217281      ;  -22.98 -18.22     ;13.11     ;20.50      ;4.875    
694 ;NAME Betelgeuse                    ;s*r;088.79293899 +07.40706400          ;    27.54 11.30     ;6.55      ;21.91      ;0.42     
695 ;* 56 Ori                           ;V* ;088.1101607375500 +01.8551378642800;  -6.890 -7.973     ;2.5424    ;11.27      ;4.750    
696 ;* 59 Ori                           ;dS*;089.6018459132900 +01.8371083815900;   7.208 -7.999     ;9.3752    ;45.30      ;5.886    
697 ;* 60 Ori                           ;*  ;089.7065613467600 +00.5529823367400;  -15.428 2.156     ;6.0104    ;35.00      ;5.200    
698 ;* 55 Ori                           ;V* ;087.8415984805100 -07.5180030307500;   0.040 -0.663     ;3.1605    ;12.60      ;5.341    
699 ;* 2 Mon                            ;SB*;089.7679722026200 -09.5582527790400;  9.575 -46.120     ;11.2998   ;19.70      ;5.029    
700 ;* eta Lep                          ;PM*;089.1012228768754 -14.1676995376703;-41.474 139.222     ;66.8573   ;-2.14      ;3.72     
701 ;* del Lep                          ;PM*;087.8304001160367 -20.8790918488403;229.027 -647.930    ;28.4234   ;101.76     ;3.85     
702 ;* sig Col                          ;*  ;089.0872634445100 -31.3824389207500;    0.692 6.510     ;2.2952    ;19.4       ;5.51     
703 ;* lam Col                          ;El*;088.2786734394400 -33.8013632178600;  -4.095 31.125     ;9.466     ;30.0       ;4.87     
704 ;NAME Wazn                          ;PM*;087.7399674962 -35.7683097808      ;   54.77 404.20     ;37.41     ;89.40      ;3.12     
705 ;* gam Col                          ;Pu*;089.3842065700 -35.2832820211      ;    -3.24 10.21     ;3.75      ;24.20      ;4.36     
706 ;* ksi Col                          ;*  ;088.8746450870400 -37.1206831582200; 34.590 -14.688     ;10.1427   ;59.5       ;4.961    
707 ;* eta Col                          ;*  ;089.7866883054 -42.8151339389      ;   18.39 -10.87     ;6.91      ;17.00      ;3.96     
708 ;* 40 Aur                           ;SB*;091.6462396752700 +38.4826467923700;  9.452 -54.087     ;9.1085    ;16.90      ;5.345    
709 ;* 3 Gem                            ;s*b;092.4332720622600 +23.1134645056800;  -0.064 -2.685     ;0.3878    ;16.00      ;5.75     
710 ;* 1 Gem                            ;SB*;091.03006433 +23.26334447          ;  -1.61 -118.33     ;21.03     ;22.39      ;4.15     
711 ;* 64 Ori                           ;SB*;090.8640164246600 +19.6905628225500;  8.132 -19.675     ;3.8145    ;12.61      ;5.130    
712 ;* chi02 Ori                        ;s*b;090.9799348776800 +20.1384522614900;   0.962 -2.500     ;0.7636    ;16.8       ;4.63     
713 ;* nu. Ori                          ;SB*;091.8930244829 +14.7684739156      ;    6.78 -20.23     ;6.32      ;24.1       ;4.397    
714 ;* 63 Ori                           ;*  ;091.2424288330600 +05.4199669627300;  -8.243 -0.655     ;3.6471    ;24.92      ;5.658    
715 ;* 66 Ori                           ;SB*;091.2431621357800 +04.1586624615400;   1.690 -3.003     ;2.134     ;25.02      ;5.621    
716 ;* 3 Mon                            ;*  ;090.4600913435200 -10.5979308673600;   -6.278 4.016     ;3.4868    ;39.00      ;5.01     
717 ;* tet Lep                          ;*  ;091.5388494706400 -14.9352553871600; -17.005 13.152     ;19.4991   ;32.00      ;4.663    
718 ;* 17 Lep                           ;Sy*;091.2463727172200 -16.4844358996200;  -5.955 -3.680     ;3.5742    ;15.10      ;4.93     
719 ;* 19 Lep                           ;PM*;091.9234922694200 -19.1658665529700;  12.492 56.996     ;4.5821    ;29.4       ;5.279    
720 ;* 72 Col                           ;** ;091.0844385836400 -32.1724291454400;-16.439 121.584     ;3.4702    ;93.00      ;5.631    
721 ;NAME Elkurud                       ;*  ;091.8818034342700 -37.2529192305000;    0.391 0.121     ;4.1731    ;45.30      ;4.994    
722 ;* pi.02 Col                        ;** ;091.9702480064100 -42.1540411907800;-10.221 -16.956     ;12.7569   ;31.00      ;5.492    
723 ;* kap Aur                          ;PM*;093.8445377567 +29.4980766786      ; -70.88 -261.42     ;18.43     ;21.09      ;4.35     
724 ;* 5 Gem                            ;PM*;092.8846063147800 +24.4202530867900;  0.373 -51.616     ;6.1988    ;11.93      ;5.825    
725 ;NAME Propus                        ;RG*;093.7193553605537 +22.5067873271708; -59.530 -7.766     ;4.7312    ;22.39      ;3.28     
726 ;* 68 Ori                           ;** ;093.0055891510400 +19.7905415313400;  1.583 -11.582     ;3.0859    ;30.9       ;5.749    
727 ;* f01 Ori                          ;Be*;093.0136647904 +16.1304059564      ;    5.49 -16.80     ;6.17      ;22.0       ;4.92     
728 ;* ksi Ori                          ;SB*;092.9849872129 +14.2087654294      ;    0.29 -20.12     ;5.37      ;19.30      ;4.48     
729 ;* f02 Ori                          ;*  ;093.8547015066600 +16.1431652841800;  -0.886 -9.240     ;7.758     ;23.80      ;5.327    
730 ;* 73 Ori                           ;*  ;093.9373521144600 +12.5510702737400;  -1.512 -1.430     ;2.343     ;12.90      ;5.467    
731 ;* l Ori                            ;** ;094.2775828336300 +09.9423930525800;  7.773 -60.906     ;12.1166   ;14.50      ;5.386    
732 ;* gam Mon                          ;*  ;093.7138902688 -06.2747744475      ;   -4.69 -19.30     ;6.55      ;-4.80      ;3.96     
733 ;* 7 Mon                            ;SB*;094.9283334911900 -07.8229059182200;  -5.405 -1.416     ;2.6645    ;29.00      ;5.252    
734 ;NAME Furud                         ;Ce*;095.0783001658 -30.0633667339      ;      7.32 4.03     ;9.00      ;32.2       ;3.00     
735 ;* del Col                          ;SB*;095.5284372868000 -33.4363989475600;-22.946 -52.045     ;15.049    ;-2.6       ;3.85     
736 ;* kap Col                          ;PM*;094.1380629987 -35.1405175028      ;    -0.28 87.94     ;17.87     ;23.70      ;4.37     
737 ;NAME Tejat                         ;LP*;095.74011193 +22.51358275          ;  56.39 -110.03     ;14.08     ;54.38      ;2.87     
738 ;* nu. Gem                          ;Be*;097.2407755592 +20.2121348956      ;   -6.82 -13.10     ;5.99      ;39.40      ;4.14     
739 ;* 13 Mon                           ;*  ;098.2259495923200 +07.3329696976200;  -1.698 -4.845     ;1.2159    ;11.80      ;4.50     
740 ;* eps Mon A                        ;*  ;095.9420225716300 +04.5928823613700;  -15.127 7.701     ;24.0777   ;13.10      ;4.398    
741 ;* 12 Mon                           ;V* ;098.0800162285700 +04.8559982737800;  -37.686 1.336     ;7.0553    ;19.91      ;5.830    
742 ;* 77 Ori                           ;*  ;096.8073378184900 +00.2992441992800;   2.306 -8.969     ;3.8856    ;32.05      ;5.186    
743 ;* 78 Ori                           ;*  ;096.8149635014200 -00.2760014224700;   1.625 -5.216     ;5.0387    ;38.8       ;5.538    
744 ;* 10 Mon                           ;bC*;096.9898693796 -04.7621535781      ;    -5.78 -2.86     ;3.00      ;25.30      ;5.041    
745 ;* bet Mon                          ;** ;097.20445711 -07.03305837          ;    -6.86 -2.76     ;4.82      ;17.20      ;3.74     
746 ;* bet Mon C                        ;Em*;097.2067206980900 -07.0346533471300;  -7.042 -3.342     ;4.7504    ;23.0       ;5.32     
747 ;* bet Mon B                        ;*  ;097.2059275162871 -07.0344002237272;  -7.761 -2.267     ;4.8943    ;18.0       ;5.00     
748 ;NAME Mirzam                        ;bC*;095.6749389696 -17.9559187089      ;    -3.23 -0.78     ;6.62      ;33.70      ;1.97     
749 ;* ksi01 CMa                        ;bC*;097.9640264908 -23.4184216917      ;     -2.91 6.22     ;2.36      ;26.90      ;4.33     
750 ;* lam CMa                          ;*  ;097.0425311337 -32.5800681911      ;   -14.41 25.21     ;7.70      ;41.00      ;4.48     
751 ;* psi02 Aur                        ;PM*;099.8326134822500 +42.4888765763000; -0.576 -55.657     ;8.0927    ;16.29      ;4.82     
752 ;* psi03 Aur                        ;*  ;099.7049183307700 +39.9025595276900; -7.718 -11.191     ;3.6617    ;9.00       ;5.331    
753 ;* 51 Aur                           ;PM*;099.6647366193000 +39.3908511211700;-22.853 -108.763    ;6.9702    ;31.98      ;5.69     
754 ;* 49 Aur                           ;*  ;098.8002590172700 +28.0223108039300;  0.292 -13.521     ;7.4302    ;17.0       ;5.260    
755 ;* 53 Aur                           ;** ;099.5958772159500 +28.9843375377400;-16.783 -13.864     ;8.2744    ;18         ;5.744    
756 ;* 28 Gem                           ;V* ;101.1894157911100 +28.9709389815200; -8.358 -27.667     ;5.5428    ;14.87      ;5.44     
757 ;NAME Mebsuta                       ;V* ;100.9830260792 +25.1311254122      ;   -5.57 -12.36     ;3.86      ;7.77       ;2.98     
758 ;* 26 Gem                           ;PM*;100.6013634121 +17.6453088431      ;    7.87 -84.32     ;22.92     ;15.00      ;5.21     
759 ;NAME Alhena                        ;SB*;099.42796043 +16.39928043          ;   13.81 -54.96     ;29.84     ;-12.63     ;1.92     
760 ;* 30 Gem                           ;PM*;100.9970297819400 +13.2279999015900; -0.452 -52.279     ;10.3816   ;12.61      ;4.49     
761 ;* 15 Mon                           ;Be*;100.24441512 +09.89575637          ;    -2.61 -1.61     ;3.55      ;22.00      ;4.640    
762 ;* nu.01 CMa                        ;*  ;099.0952176772600 -18.6599039851400; -13.463 18.621     ;11.5857   ;26.13      ;5.695    
763 ;* nu.03 CMa                        ;*  ;099.4725890920300 -18.2374806850100;  -7.166 -8.777     ;6.7876    ;-1.09      ;4.43     
764 ;* nu.02 CMa                        ;PM*;099.1709898983 -19.2558794181      ;   62.57 -69.97     ;50.63     ;2.57       ;3.91     
765 ;* ksi02 CMa                        ;*  ;098.7641148024600 -22.9647954166900;  16.316 16.885     ;8.0342    ;26.00      ;4.50     
766 ;* 10 CMa                           ;Be*;101.1186129347900 -31.0705256549500;   -3.286 4.201     ;1.6454    ;34.00      ;5.17     
767 ;* nu. Pup                          ;Ce*;099.4402973029 -43.1959333808      ;    -0.44 -3.87     ;8.78      ;30.90      ;3.17     
768 ;* psi07 Aur                        ;PM*;102.6914303395700 +41.7812305477500;-25.542 -137.253    ;9.6073    ;59.50      ;4.975    
769 ;* tet Gem                          ;PM*;103.1972452958 +33.9612548506      ;   -1.66 -47.31     ;17.25     ;21.00      ;3.60     
770 ;* 37 Gem                           ;*  ;103.8277764949300 +25.3756954313900; -37.595 24.234     ;57.4559   ;-14.925    ;5.748    
771 ;* 87 Gem                           ;*  ;102.9999423846300 +23.6017219895700; -39.651 -8.859     ;7.2748    ;33.29      ;5.671    
772 ;* d Gem                            ;*  ;102.8876932620800 +21.7611452911700; -5.719 -35.781     ;7.6158    ;34.4       ;5.259    
773 ;* 33 Gem                           ;Ro*;102.4576509908600 +16.2028840855600;-15.993 -10.899     ;4.8578    ;12.40      ;5.87     
774 ;NAME Alzirr                        ;PM*;101.3223513354 +12.8955919797      ;-115.73 -190.55     ;55.56     ;27.20      ;3.36     
775 ;* 35 Gem                           ;*  ;102.6062443902500 +13.4131787178100;  -2.200 -6.421     ;2.702     ;28.91      ;5.672    
776 ;* e Gem                            ;PM*;103.6609922819879 +13.1778453179544; 68.745 -86.832     ;33.9184   ;24         ;4.715    
777 ;* 16 Mon                           ;SB*;101.6350604959800 +08.5871576072600;  -6.953 -5.179     ;3.3288    ;10.3       ;5.92     
778 ;* 17 Mon                           ;*  ;101.8326257118700 +08.0372563528400;-24.428 -11.916     ;6.3783    ;46.19      ;4.77     
779 ;* 18 Mon                           ;SB*;101.9651995234800 +02.4121763919800;-17.309 -15.921     ;8.2744    ;11.29      ;4.47     
780 ;* tet CMa                          ;PM*;103.5474952553600 -12.0386281010500;-136.654 -14.322    ;12.0676   ;96.20      ;4.08     
781 ;* 11 CMa                           ;*  ;101.7128846556200 -14.4259754830300;   -2.462 8.996     ;3.6298    ;15.00      ;5.272    
782 ;* iot CMa                          ;bC*;104.0342671942 -17.0542409633      ;     -3.56 2.42     ;1.30      ;41.20      ;4.385    
783 ;* pi. CMa                          ;PM*;103.9059601613300 -20.1364969045300;  51.109 39.971     ;33.5731   ;8.0        ;4.664    
784 ;* 17 CMa                           ;*  ;103.7614083512200 -20.4048771756000; -0.242 -10.241     ;5.4157    ;-12.90     ;5.792    
785 ;* 15 CMa                           ;bC*;103.3871132796 -20.2242549208      ;     -5.46 3.58     ;2.68      ;28.00      ;4.83     
786 ;* omi01 CMa                        ;s*r;103.5331344588300 -24.1842109726400;   -3.771 4.066     ;1.2869    ;36.3       ;3.87     
787 ;* kap CMa                          ;Be*;102.4602471929 -32.5084784672      ;     -8.84 3.73     ;4.95      ;14.00      ;3.89     
788 ;* x Pup                            ;*  ;101.8391636721200 -37.9296972274800;  -9.822 -9.990     ;10.1629   ;47.00      ;5.260    
789 ;* ome Gem                          ;Ce*;105.6032499688300 +24.2154462533000;  -7.054 -0.392     ;3.5179    ;-8.09      ;5.181    
790 ;NAME Mekbuda                       ;cC*;106.0272116263 +20.5702982975      ;    -7.29 -0.41     ;2.37      ;2.80       ;3.79     
791 ;* 41 Gem                           ;V* ;105.0659307184000 +16.0789958852800;  -2.203 -3.776     ;0.7209    ;20.96      ;5.69     
792 ;* 19 Mon                           ;bC*;105.7282361350 -04.2392326886      ;     -5.05 2.24     ;2.68      ;24.8       ;5.00     
793 ;NAME Muliphein                     ;*  ;105.9395543688 -15.6332861031      ;   -0.14 -11.36     ;7.38      ;32.00      ;4.12     
794 ;* omi02 CMa                        ;s*b;105.7561338125 -23.8332923078      ;     -2.21 3.61     ;1.18      ;48.40      ;3.02     
795 ;NAME Adhara                        ;*  ;104.65645315 -28.97208616          ;      3.24 1.33     ;8.05      ;27.30      ;1.50     
796 ;NAME Unurgunite                    ;LP*;105.4297824358 -27.9348304928      ;     -5.98 4.59     ;2.91      ;22.11      ;3.47     
797 ;* t Pup                            ;** ;104.6045369749200 -34.1116901177400;  -10.659 0.710     ;5.5437    ;19.20      ;5.068    
798 ;* D Pup                            ;*  ;106.7794907127300 -40.8932695092500; -10.554 11.163     ;4.5288    ;6.00       ;5.783    
799 ;* C Pup                            ;** ;106.0116419400 -42.3372795719      ;   -17.46 71.63     ;9.36      ;27.9       ;5.191    
800 ;* 64 Aur                           ;*  ;109.5092271031700 +40.8833936556500; -13.026 12.568     ;10.5189   ;-10.00     ;5.870    
801 ;* 63 Aur                           ;*  ;107.9138605249800 +39.3205503384800;   45.314 2.986     ;7.6144    ;-27.89     ;4.886    
802 ;* tau Gem                          ;PM*;107.7848763073704 +30.2451637698539;-30.725 -48.515     ;8.3261    ;21.27      ;4.42     
803 ;* 53 Gem                           ;V* ;108.9881963553000 +27.8974209771400; -12.384 -1.967     ;4.0783    ;25.11      ;5.71     
804 ;* 47 Gem                           ;*  ;107.8461138496900 +26.8565889947600;-19.210 -33.061     ;8.7883    ;38.50      ;5.750    
805 ;* 52 Gem                           ;PM*;108.6749094305500 +24.8849842946300; 52.508 -89.655     ;8.2499    ;42.14      ;5.82     
806 ;* 48 Gem                           ;*  ;108.1099009340600 +24.1285938894900;-17.952 -45.679     ;9.2055    ;13.0       ;5.85     
807 ;* lam Gem                          ;PM*;109.5232454980700 +16.5403859947900;-46.157 -36.007     ;32.6068   ;-7.40      ;3.559    
808 ;* 51 Gem                           ;LP*;108.3428159794000 +16.1589642189300; 12.727 -41.447     ;5.031     ;-9.00      ;5.00     
809 ;* 45 Gem                           ;PM*;107.0918313104400 +15.9306766175200;-4.706 -102.950     ;10.7433   ;-18.48     ;5.476    
810 ;* del Mon                          ;*  ;107.9660865800 -00.4927696736      ;      0.79 4.52     ;8.49      ;15.00      ;4.15     
811 ;* 21 Mon                           ;dS*;107.8483994053700 -00.3019292046800; -26.764 -9.813     ;11.432    ;34.50      ;5.428    
812 ;* 20 Mon                           ;PM*;107.5570062610300 -04.2371069597900; -0.460 217.452     ;16.811    ;77.750     ;4.92     
813 ;* 145 CMa                          ;*  ;109.1534773210400 -23.3155939638500;   -3.816 3.896     ;1.2155    ;28.05      ;4.79     
814 ;NAME Wezen                         ;s*y;107.0978502142 -26.3931995789      ;     -3.12 3.31     ;2.03      ;33.67      ;1.84     
815 ;* 26 CMa                           ;Pu*;108.0508946189400 -25.9425878007600;   -5.568 9.286     ;3.5923    ;21.6       ;5.897    
816 ;* ome CMa                          ;Be*;108.7027244433 -26.7726693650      ;    -11.88 6.87     ;3.58      ;23.20      ;3.82     
817 ;* 29 CMa                           ;SB*;109.6682455640400 -24.5586995134800;   -2.865 3.678     ;0.8549    ;20.00      ;4.95     
818 ;* tau CMa                          ;SB*;109.6770267463 -24.9543725831      ;     -2.31 5.02     ;1.09      ;49.40      ;4.40     
819 ;* 27 CMa                           ;Be*;108.5633829896 -26.3525086683      ;     -6.91 3.17     ;1.88      ;16.30      ;4.65     
820 ;* ups01 Pup                        ;Be*;109.5766389554 -36.7339535894      ;    -10.25 5.82     ;4.06      ;18.6       ;4.67     
821 ;* ups02 Pup                        ;Be*;109.6591058146800 -36.7427374811400;  -10.172 6.621     ;2.9923    ;18.00      ;5.11     
822 ;* pi. Pup                          ;LP*;109.28565325 -37.09747115          ;    -10.05 6.47     ;4.04      ;15.80      ;2.70     
823 ;* A Pup                            ;Ce*;107.2127844325 -39.6556549856      ;    -10.69 7.71     ;4.48      ;19.5       ;4.83     
824 ;* F Pup                            ;*  ;109.6396354728900 -39.2102841972200;   -9.529 9.565     ;7.3579    ;34.90      ;5.243    
825 ;* E Pup                            ;SB*;108.0658625089400 -40.4988209391500; -18.376 -8.220     ;7.5641    ;-4.40      ;5.31     
826 ;* 66 Aur                           ;*  ;111.0352814953800 +40.6723888559700; -4.081 -21.023     ;3.2175    ;22.62      ;5.188    
827 ;* 65 Aur                           ;PM*;110.5109066819800 +36.7605836024500;-97.064 -22.733     ;12.6451   ;22.14      ;5.120    
828 ;* rho Gem                          ;PM*;112.27799529 +31.78454925          ;  159.09 193.29     ;55.41     ;-3.70      ;4.18     
829 ;* 64 Gem                           ;PM*;112.3351701736200 +28.1182762995100;-33.931 -52.782     ;18.5038   ;35.4       ;5.064    
830 ;* b Gem                            ;SB*;112.4531745852000 +27.9161203620500;-29.312 -21.779     ;7.718     ;35.30      ;5.010    
831 ;* iot Gem                          ;** ;111.4316471500 +27.7980813469      ; -122.66 -84.03     ;27.10     ;7.432      ;3.79     
832 ;* 59 Gem                           ;*  ;111.1393880077100 +27.6378559744900;  13.722 15.078     ;14.9819   ;-4.5       ;5.759    
833 ;* 57 Gem                           ;PM*;110.8687970761500 +25.0505312834400;-66.676 -29.082     ;18.1774   ;5.46       ;5.022    
834 ;NAME Wasat                         ;SB*;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1        ;3.53     
835 ;* 63 Gem                           ;SB*;111.9348222072700 +21.4452790250300;-56.450 -121.068    ;30.8067   ;-82.30     ;5.24     
836 ;* 56 Gem                           ;PM*;110.4869241276400 +20.4436581324800;-60.474 -23.693     ;7.6812    ;4.80       ;5.080    
837 ;* 61 Gem                           ;** ;111.7347018405100 +20.2575547719200;   2.113 -8.169     ;7.4357    ;9.00       ;5.935    
838 ;* 6 CMi                            ;V* ;112.4490905217 +12.0065652036      ;   -0.57 -18.85     ;5.70      ;-16.31     ;4.531    
839 ;* 1 CMi                            ;*  ;111.2424167511400 +11.6695229131400;-15.574 -15.478     ;10.9796   ;-1.00      ;5.361    
840 ;* eps CMi                          ;*  ;111.4120820166000 +09.2760904223900;  -4.583 -8.414     ;3.9908    ;-6.90      ;4.986    
841 ;* gam CMi                          ;SB*;112.0408095289700 +08.9255244800600; -62.112 11.141     ;3.134     ;46.80      ;4.30     
842 ;NAME Gomeisa                       ;Be*;111.7876739054 +08.2893157625      ;  -51.76 -38.29     ;20.17     ;22.00      ;2.89     
843 ;* eta CMi                          ;*  ;112.0086451902400 +06.9419706076400; -3.109 -43.633     ;10.2172   ;17.20      ;5.22     
844 ;NAME Aludra                        ;s*b;111.02375950 -29.30310551          ;     -4.14 5.81     ;1.64      ;41.1       ;2.45     
845 ;* y Pup                            ;XB*;112.2737299804200 -38.8120673219900; -19.836 15.281     ;5.0843    ;24.00      ;5.395    
846 ;* 70 Gem                           ;*  ;114.6369329852900 +35.0485498459000;  38.492 27.757     ;9.9583    ;-36.33     ;5.572    
