C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
172 ;* e Tau                            ;V* ;057.0677782225700 +11.1432989279500; 23.848 -23.090    ;7.3071    ;16.20     ;5.07     
173 ;* u Tau                            ;SB*;056.4185140292500 +06.0499959303400; 21.532 -13.456    ;5.5383    ;16.5      ;5.337    
174 ;* 32 Eri                           ;** ;058.57292417 -02.95473430          ;    26.00 -0.23    ;10.42     ;27.10     ;4.45     
175 ;* 30 Eri                           ;*  ;058.1735364337900 -05.3612271839100;  2.942 -11.970    ;4.1736    ;15.00     ;5.475    
176 ;* pi. Eri                          ;LP?;056.5355634167500 -12.1015884820100;  56.125 59.445    ;6.3943    ;45.20     ;4.42     
177 ;* tau07 Eri                        ;Pe*;056.9152087262800 -23.8746774630200;  47.218 48.519    ;12.5218   ;28.40     ;5.235    
178 ;* tau06 Eri                        ;PM*;056.7120304943742 -23.2497228029747;-159.920 -529.646  ;56.2281   ;7.19      ;4.20     
179 ;* tau08 Eri                        ;SB*;058.4279264844000 -24.6122281715400;  30.202 -6.579    ;9.9585    ;20.50     ;4.623    
180 ;* rho For                          ;RG*;056.9835013841500 -30.1678827911700;25.932 -231.400    ;11.5326   ;52.60     ;5.54     
181 ;* i Eri                            ;*  ;058.4122808075100 -34.7322973066800;  31.797 -1.902    ;9.0016    ;22.90     ;5.092    
182 ;* g Eri                            ;PM*;057.3635219946 -36.2002511222      ;  -49.18 -57.01    ;15.54     ;2.62      ;4.17     
183 ;* f Eri                            ;** ;057.14948851 -37.62015040          ;    74.44 -9.09    ;19.71     ;15.60     ;4.27     
184 ;* f Eri B                          ;PM*;057.1478236955500 -37.6220034472700;  63.372 -8.121    ;18.7976   ;15.9      ;5.25     
185 ;* ksi Per                          ;** ;059.7412595488 +35.7910314458      ;      3.62 1.74    ;2.62      ;65.40     ;4.060    
186 ;* psi Tau                          ;PM*;061.7519039747200 +29.0013081318500;  -91.661 8.096    ;35.9319   ;9.15      ;5.2      
187 ;* 32 Tau                           ;PM*;059.2169879582800 +22.4779735748200;70.674 -114.026    ;22.5957   ;32.35     ;5.617    
188 ;* 36 Tau                           ;SB*;061.0902857939500 +24.1060179599100;  2.368 -15.323    ;3.1252    ;10.38     ;5.512    
189 ;* 37 Tau                           ;PM*;061.1738118396 +22.0819234117      ;   90.53 -59.47    ;17.43     ;9.52      ;4.37     
190 ;* 39 Tau                           ;** ;061.3344085163300 +22.0089048332200;172.212 -130.609   ;59.4728   ;23.97     ;5.90     
191 ;* lam Tau                          ;EB*;060.1700654896 +12.4903405381      ;   -8.02 -14.42    ;6.74      ;17.8      ;3.41     
192 ;* 40 Tau                           ;** ;060.9358518909700 +05.4356182785900;   1.271 -7.216    ;4.5161    ;13.00     ;5.33     
193 ;* 35 Eri                           ;*  ;060.3835295860400 -01.5496586449100; 28.479 -15.863    ;7.4656    ;15.70     ;5.28     
194 ;* gam Eri                          ;LP?;059.5073622871 -13.5085193806      ;  61.57 -113.11    ;16.04     ;60.81     ;2.94     
195 ;* tau09 Eri                        ;a2*;059.9811823664000 -24.0162158876300;  11.786 16.740    ;9.9739    ;25.50     ;4.66     
196 ;* p Tau                            ;dS*;062.7077535196300 +26.4809545762200;-30.919 -35.105    ;15.4199   ;17.10     ;5.387    
197 ;* 51 Tau                           ;SB*;064.5967124839200 +21.5792191588600; 89.595 -16.328    ;19.5053   ;37.87     ;5.631    
198 ;* ome02 Tau                        ;PM*;064.3152546936800 +20.5785973794900;-40.375 -59.486    ;35.0804   ;15.00     ;4.914    
199 ;* ome01 Tau                        ;PM*;062.2915250840900 +19.6092171269800;105.778 -31.727    ;11.2909   ;24.970    ;5.504    
200 ;* mu. Tau                          ;*  ;063.8835752501900 +08.8923550849400; 19.770 -21.918    ;6.4463    ;16.30     ;4.279    
201 ;* 46 Tau                           ;** ;063.3878768587500 +07.7161159632400;  11.072 -9.667    ;26.1562   ;2.40      ;5.29     
202 ;* 45 Tau                           ;PM*;062.8345093312800 +05.5230522221200;  147.926 6.794    ;26.6345   ;37.487    ;5.699    
203 ;* omi01 Eri                        ;dS*;062.9664148333 -06.8375795522      ;    10.76 81.92    ;26.80     ;11.00     ;4.026    
204 ;* 39 Eri                           ;PM*;063.5986995752300 -10.2562834617100;-8.047 -162.274    ;14.1704   ;5.85      ;4.90     
205 ;* ups04 Eri                        ;SB*;064.4735933612 -33.7983491397      ;    62.52 -7.24    ;18.33     ;17.6      ;3.56     
206 ;* 55 Per                           ;*  ;066.1214806080900 +34.1307577362800; 21.251 -34.168    ;6.8599    ;8.50      ;5.718    
207 ;* phi Tau                          ;PM*;065.0884004052200 +27.3507523051600;-27.923 -77.134    ;11.4462   ;1.85      ;4.951    
208 ;* chi Tau                          ;SB*;065.6455988208700 +25.6293159931800; 20.802 -17.039    ;11.2029   ;13.99     ;5.378    
209 ;* 56 Tau                           ;a2*;064.9029370390900 +21.7734907855100; 28.558 -41.394    ;11.4023   ;12.4      ;5.346    
210 ;* 53 Tau                           ;a2*;064.8587399560400 +21.1423052689300; 28.816 -42.876    ;11.93     ;6.10      ;5.482    
211 ;* 72 Tau                           ;** ;066.8227117865000 +22.9963272782200; -1.409 -13.722    ;7.939     ;7.30      ;5.514    
212 ;* kap01 Tau                        ;PM*;066.3423543858 +22.2938715375      ;  105.10 -45.04    ;21.19     ;37.30     ;4.201    
213 ;* kap02 Tau                        ;dS*;066.3542301957100 +22.1999987548900;112.371 -46.639    ;22.0177   ;32.00     ;5.264    
214 ;* ups Tau                          ;dS*;066.5769319833 +22.8135801383      ;  108.81 -46.80    ;21.21     ;32.20     ;4.282    
215 ;* eps Tau                          ;** ;067.1541677296646 +19.1804342058139;107.526 -36.200    ;22.3654   ;38.420    ;3.53     
216 ;* gam Tau                          ;** ;064.9483493712 +15.6276431728      ;  115.46 -23.42    ;20.19     ;38.458    ;3.65     
217 ;* del Tau                          ;SB*;065.7337298316400 +17.5425138339900;106.212 -27.692    ;20.3092   ;37.91     ;3.76     
218 ;* del02 Tau                        ;PM*;066.0240060548400 +17.4441309172100;110.580 -32.809    ;21.6192   ;38.80     ;4.80     
219 ;* del03 Tau                        ;a2*;066.3724363277679 +17.9279065118844;107.316 -31.000    ;21.0865   ;39.418    ;4.298    
220 ;* tet01 Tau                        ;SB*;067.1437334754 +15.9621803978      ;  104.97 -15.14    ;21.13     ;42.193    ;3.840    
221 ;* 63 Tau                           ;SB*;065.8544336330000 +16.7772641205600;106.971 -26.247    ;20.795    ;39.61     ;5.625    
222 ;* 71 Tau                           ;dS*;066.5865450853900 +15.6183011354500; 87.435 -20.978    ;21.3958   ;38.3      ;4.480    
223 ;* tet02 Tau                        ;dS*;067.1655900464400 +15.8708746495500;106.148 -20.294    ;21.8125   ;38.90     ;3.410    
224 ;* 75 Tau                           ;** ;067.1098746163000 +16.3596749458100;   9.504 18.501    ;16.803    ;16.66     ;4.969    
225 ;* 58 Tau                           ;dS*;065.1512931840200 +15.0954528235100;108.443 -21.171    ;21.0899   ;36.2      ;5.242    
226 ;* h Tau                            ;dS*;064.9904357136000 +14.0352033920800;115.369 -18.825    ;21.9777   ;42.00     ;5.568    
227 ;* pi. Tau                          ;*  ;066.6515476902800 +14.7137818582000; -8.802 -30.335    ;8.0403    ;31.37     ;4.69     
228 ;* 76 Tau                           ;PM*;067.0975324344400 +14.7409588802100; 96.553 -15.772    ;18.0316   ;40.46     ;5.892    
229 ;* 60 Tau                           ;dS*;065.5146589158900 +14.0771980347400;113.774 -21.321    ;22.0269   ;39.21     ;5.710    
230 ;* b Tau                            ;PM*;067.2090150887400 +13.0476019996100;104.066 -14.900    ;20.7158   ;37.30     ;5.014    
231 ;* 44 Eri                           ;*  ;067.1338377272900 +01.3808252938400; 20.236 -20.406    ;6.401     ;18.00     ;5.532    
232 ;* d Eri                            ;*  ;065.1784754330500 -07.5924960309000;   3.540 -2.298    ;3.7763    ;11.20     ;5.838    
233 ;* 228 Eri                          ;Be*;067.2788558742300 -13.0483688247800;   0.644 -0.794    ;2.1159    ;22.00     ;5.41     
234 ;* 43 Eri                           ;PM*;066.0091930598800 -34.0168495118300;  67.572 48.489    ;11.127    ;24.10     ;3.96     
235 ;* 58 Per                           ;SB*;069.1726257250 +41.2648114722      ;   -4.56 -17.84    ;4.09      ;9.80      ;4.26     
236 ;* 81 Tau                           ;SB*;067.6620379971600 +15.6918778974900;103.488 -24.354    ;21.8684   ;40.02     ;5.454    
237 ;* sig02 Tau                        ;PM*;069.8187596042 +15.9179730419      ;   83.17 -20.97    ;20.97     ;40.80     ;4.665    
238 ;* 85 Tau                           ;PM*;067.9656618557300 +15.8516239274400; 99.496 -34.330    ;21.0051   ;36.00     ;5.998    
239 ;* 89 Tau                           ;** ;069.5393358858800 +16.0332562864200;  84.967 -8.794    ;17.8209   ;38.4      ;5.776    
240 ;* alf Tau                          ;LP?;068.98016279 +16.50930235          ;  63.45 -188.94    ;48.94     ;54.398    ;0.86     
241 ;* 80 Tau                           ;** ;067.53582394 +15.63783872          ;  107.32 -24.52    ;21.82     ;29.30     ;5.552    
242 ;* 83 Tau                           ;** ;067.6556788513200 +13.7244023147200;106.565 -19.249    ;21.4915   ;38.8      ;5.395    
243 ;* sig01 Tau                        ;SB*;069.7884301086900 +15.7998364560200; 35.477 -63.675    ;17.0392   ;18.8      ;5.076    
244 ;* rho Tau                          ;dS*;068.4621576344400 +14.8444282382200;103.083 -24.427    ;21.6354   ;33.30     ;4.65     
245 ;* c Tau                            ;PM*;069.5394245577800 +12.5108369601800;104.695 -14.861    ;22.031    ;40.30     ;4.27     
246 ;* 93 Tau                           ;*  ;070.0142497130500 +12.1976129730300; -0.058 -12.345    ;8.2529    ;22.00     ;5.445    
247 ;* 88 Tau                           ;SB*;068.9136092129300 +10.1607532347200; 47.937 -31.407    ;19.5061   ;23.97     ;4.250    
248 ;* 49 Eri                           ;V* ;069.3069753758 +00.9983134358      ;    -3.87 -5.69    ;3.83      ;24.00     ;5.315    
249 ;* 45 Eri                           ;*  ;067.9694526219000 -00.0440110657400;  -1.469 -7.681    ;3.7428    ;15.22     ;4.896    
250 ;* 51 Eri                           ;PM*;069.4005525378700 -02.4735488128500; 44.049 -64.028    ;33.439    ;12.60     ;5.209    
251 ;* nu. Eri                          ;bC*;069.0797560079 -03.3524601883      ;     1.53 -5.01    ;4.83      ;14.9      ;3.928    
252 ;* 46 Eri                           ;a2*;068.4780318266100 -06.7389117919900;  -3.790 -5.993    ;4.181     ;1.7       ;5.72     
253 ;* l Eri                            ;** ;069.5451004017046 -14.3040231848422;-80.036 -154.416   ;28.0378   ;43.33     ;3.87     
254 ;* ups01 Eri                        ;PM*;068.3773010543300 -29.7664918490700;-114.740 -272.059  ;26.0289   ;20.62     ;4.51     
255 ;* tau Tau                          ;SB*;070.5612468549800 +22.9569028148300;  3.181 -17.028    ;8.231     ;14.6      ;4.258    
256 ;* i Tau                            ;dS*;072.8435980464800 +18.8398571851200; 82.319 -35.743    ;26.1221   ;39.10     ;5.085    
257 ;* pi.02 Ori                        ;*  ;072.6530124271 +08.9001803703      ;    1.41 -29.91    ;14.53     ;24.40     ;4.35     
258 ;* pi.03 Ori                        ;PM*;072.4600454404 +06.9612745261      ;   464.06 11.21    ;123.94    ;22.47     ;3.190    
259 ;* pi.04 Ori                        ;SB*;072.8015196700 +05.6051034181      ;     -2.21 0.85    ;3.10      ;23.3      ;3.680    
260 ;* mu. Eri                          ;EB*;071.3756265908 -03.2546601561      ;   15.94 -14.52    ;6.25      ;23.30     ;4.00     
261 ;* 56 Eri                           ;Be*;071.0221696976300 -08.5035701902000;    4.367 1.864    ;1.3187    ;15.1      ;5.81     
262 ;* 59 Eri                           ;*  ;072.1355567858800 -16.3294864734500;   8.268 39.096    ;23.97     ;34.12     ;5.755    
263 ;* 60 Eri                           ;RG*;072.5484006493200 -16.2171599104500;  45.851 52.385    ;13.6426   ;39.93     ;5.028    
264 ;* 58 Eri                           ;BY*;071.9012154289100 -16.9344556868200;130.264 169.338    ;75.5289   ;21.72     ;5.50     
265 ;* bet Cae                          ;PM*;070.5145095764800 -37.1443302403400; 42.561 212.705    ;34.6088   ;29.48     ;5.05     
266 ;* 5 Aur                            ;** ;075.0764152022700 +39.3947053326300; -10.609 -2.561    ;18.3645   ;8.05      ;5.97     
267 ;* zet Aur                          ;EB*;075.6195307833 +41.0758388847      ;    9.45 -20.71    ;4.15      ;11.32     ;3.75     
268 ;* iot Aur                          ;V* ;074.2484212029 +33.1660995775      ;    6.79 -14.88    ;6.61      ;17.78     ;2.69     
269 ;* k Tau                            ;PM*;074.5391335546300 +25.0504069216400; 25.099 -47.413    ;10.1378   ;17.30     ;5.785    
270 ;* 99 Tau                           ;*  ;074.4526901955400 +23.9485685193100;  4.391 -15.012    ;5.5522    ;3.9       ;5.806    
271 ;* iot Tau                          ;** ;075.7739438505300 +21.5899611960900; 67.391 -40.958    ;18.3851   ;38.30     ;4.615    
272 ;* g Ori                            ;** ;073.6953965534000 +11.4259830647500;  -6.141 17.895    ;14.1277   ;1.00      ;5.184    
273 ;* omi02 Ori                        ;PM*;074.0928165302554 +13.5144687843022;-74.408 -44.909    ;18.0904   ;2.54      ;4.06     
274 ;* pi.01 Ori                        ;PM*;073.7238698583 +10.1508320000      ;  41.49 -128.73    ;28.04     ;11.10     ;4.648    
275 ;* 5 Ori                            ;V* ;073.3448864092 +02.5082251167      ;   29.71 -16.41    ;5.52      ;12.29     ;5.324    
276 ;* pi.05 Ori                        ;SB*;073.5629043524100 +02.4406716584600;    0.561 1.340    ;3.2945    ;24.20     ;3.73     
277 ;* pi.06 Ori                        ;V* ;074.6370928727500 +01.7140135367600;  -0.589 -6.482    ;4.2093    ;14.73     ;4.459    
278 ;* b Eri                            ;** ;074.1007780383300 -05.1713567929100;  -6.395 -1.809    ;4.544     ;24.00     ;5.482    
279 ;* psi Eri                          ;*  ;075.3597749829 -07.1739628342      ;      1.71 6.29    ;4.41      ;20.70     ;4.81     
280 ;* R Eri                            ;** ;073.8277409664600 -16.4177706596900;  13.468 46.312    ;11.1892   ;38.20     ;5.715    
281 ;* 1 Lep                            ;PM*;075.6874119818100 -22.7950526034300;  66.661 16.114    ;7.6481    ;32.33     ;5.738    
282 ;* eta Aur                          ;PM*;076.6287223892 +41.2344757558      ;   31.45 -67.87    ;13.40     ;7.30      ;3.18     
283 ;* mu. Aur                          ;** ;078.3571750981100 +38.4844987827500;-20.673 -75.488    ;20.1016   ;26.00     ;4.821    
284 ;* 103 Tau                          ;SB*;077.0275931477900 +24.2651746087800;   0.765 -5.245    ;2.1079    ;16.2      ;5.50     
285 ;* 105 Tau                          ;Be*;076.9809789904900 +21.7048192689400;   0.396 -6.606    ;3.2854    ;17.4      ;5.92     
286 ;* 11 Ori                           ;a2*;076.1422881796 +15.4041047425      ;   17.80 -31.15    ;8.93      ;16.8      ;4.661    
287 ;* 15 Ori                           ;** ;077.4248214417900 +15.5972130472000;   4.185 -7.263    ;9.8438    ;28.79     ;4.82     
288 ;* h Ori                            ;SB*;077.3318469711300 +09.8295840760900;  60.769 -7.443    ;18.771    ;44.44     ;5.43     
289 ;* rho Ori                          ;** ;078.32283394 +02.86126329          ;      0.83 3.91    ;9.32      ;40.50     ;4.44     
290 ;* 66 Eri                           ;a2*;076.6902199507800 -04.6551669514300;   9.310 -0.519    ;10.7278   ;30.9      ;5.12     
291 ;* 68 Eri                           ;PM*;077.1820779672500 -04.4562082861600;  54.278 16.252    ;39.4394   ;10.181    ;5.119    
292 ;* bet Ori                          ;s*b;078.63446707 -08.20163836          ;      1.31 0.50    ;3.78      ;17.80     ;0.13     
293 ;* lam Eri                          ;Be*;077.2865964508 -08.7540807842      ;     0.25 -1.97    ;4.02      ;2.00      ;4.27     
294 ;* iot Lep                          ;** ;078.0745912671 -11.8692184108      ;   24.39 -31.02    ;14.07     ;23.50     ;4.45     
295 ;* mu. Lep                          ;a2*;078.2329290170900 -16.2054634997500; 42.803 -16.017    ;19.1775   ;27.10     ;3.29     
296 ;* eps Lep                          ;PM*;076.3652723742 -22.3710344147      ;   21.13 -73.11    ;15.29     ;1.011     ;3.18     
297 ;* gam Cae                          ;** ;076.10167575 -35.48297670          ;  126.17 -43.67    ;17.99     ;9.7       ;4.55     
298 ;* rho Aur                          ;SB*;080.4517356049500 +41.8045720426000; 15.053 -37.695    ;5.2029    ;16.30     ;5.207    
299 ;* lam Aur                          ;PM*;079.7853143746338 +40.0990514113722;520.569 -664.488   ;79.6021   ;66.57     ;4.71     
300 ;* n Tau                            ;PM*;079.8191924038500 +22.0965059495500; 11.173 -75.077    ;14.0108   ;17.97     ;4.948    
301 ;* gam Ori                          ;V* ;081.28276356 +06.34970326          ;   -8.11 -12.88    ;12.92     ;18.2      ;1.64     
302 ;* 23 Ori                           ;SB*;080.7083499439100 +03.5444587383900;  -1.802 -3.476    ;1.8431    ;18.00     ;5.00     
303 ;* 21 Ori                           ;PM*;079.7967503950800 +02.5957999724200;-17.160 -45.512    ;16.3291   ;8.30      ;5.325    
304 ;* psi01 Ori                        ;Be*;081.1867807701300 +01.8464449765800;    1.047 0.433    ;2.9321    ;19.3      ;4.96     
305 ;* o Ori                            ;SB*;080.4406139864200 -00.3824668706100;   -0.077 1.563    ;2.8587    ;28.8      ;4.74     
306 ;* p Ori                            ;SB*;081.1204040751900 -00.8913348192400; -3.552 135.626    ;17.3865   ;20.67     ;5.072    
307 ;* eta Ori                          ;EB*;081.11923634 -02.39714754          ;    -0.71 -3.46    ;3.34      ;19.8      ;3.35     
308 ;* tau Ori                          ;*  ;079.4016190192 -06.8444083853      ;   -17.61 -9.24    ;6.60      ;20.1      ;3.59     
309 ;* nu. Lep                          ;*  ;079.9959299667000 -12.3155862644100;  -12.675 7.536    ;9.2226    ;16.00     ;5.284    
310 ;* lam Lep                          ;*  ;079.8938502021 -13.1767891086      ;    -3.30 -4.91    ;3.83      ;20.2      ;4.29     
311 ;* 8 Lep                            ;SB*;080.8756501880000 -13.9273529193400;   0.401 -1.038    ;2.7009    ;18.2      ;5.229    
312 ;* omi Col                          ;PM*;079.3712030790154 -34.8952007672378;96.167 -339.569    ;30.7880   ;21.10     ;4.83     
313 ;* phi Aur                          ;*  ;081.9120159199300 +34.4758797062400; -1.050 -38.934    ;6.4359    ;30.69     ;5.059    
314 ;* bet Tau                          ;PM*;081.57297133 +28.60745172          ;  22.76 -173.58    ;24.36     ;9.2       ;1.65     
315 ;* 118 Tau                          ;** ;082.31875034 +25.15021613          ;   11.48 -37.20    ;7.67      ;15.00     ;5.480    
316 ;* 121 Tau                          ;*  ;083.8630436367 +24.0395901858      ;   15.52 -19.67    ;5.90      ;23.0      ;5.38     
317 ;* o Tau                            ;*  ;081.9086835996 +21.9369649461      ;     0.05 -7.06    ;5.22      ;16.50     ;4.868    
318 ;* 115 Tau                          ;** ;081.7920616164300 +17.9622112632100;  6.356 -18.685    ;5.064     ;14.90     ;5.404    
319 ;* 122 Tau                          ;PM*;084.2655648778100 +17.0403271590600; 42.771 -33.508    ;19.3993   ;41.1      ;5.525    
320 ;* 120 Tau                          ;Be*;083.3817934279500 +18.5402298421800;   0.746 -0.005    ;2.5409    ;41.00     ;5.69     
321 ;* 119 Tau                          ;s*r;083.0531354467 +18.5942343303      ;     1.86 -4.48    ;1.82      ;23.75     ;4.33     
322 ;* 116 Tau                          ;*  ;081.9400337256300 +15.8740504976000;  4.458 -21.757    ;6.4814    ;16.00     ;5.515    
323 ;* 35 Ori                           ;*  ;083.4761771154100 +14.3055677202200;  -0.327 -4.573    ;3.0314    ;16.70     ;5.593    
324 ;* phi01 Ori                        ;SB*;083.7051584875 +09.4895799483      ;     0.27 -2.26    ;3.00      ;33.2      ;4.41     
325 ;* lam Ori                          ;** ;083.78449002 +09.93415587          ;    -0.34 -2.94    ;2.97      ;30.10     ;3.66     
326 ;* phi02 Ori                        ;PM*;084.2266190535671 +09.2906712530075;98.301 -305.022    ;28.6722   ;99.083    ;4.09     
327 ;* lam Ori A                        ;Em*;083.7844836696300 +09.9341642573100;   2.896 -3.183    ;2.5936    ;34        ;3.47     
328 ;* 32 Ori                           ;** ;082.69604545 +05.94813679          ;    5.10 -33.30    ;10.77     ;18.60     ;4.20     
