C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
40  ;* bet Per                          ;EB*;047.0422185563 +40.9556466703      ;     2.99 -1.66     ;36.27     ;4.0        ;2.12     
41  ;* gam Cyg                          ;V* ;305.5570909821 +40.2566791564      ;     2.39 -0.91     ;1.78      ;-5.906     ;2.23     
42  ;* 57 Cyg                           ;EB*;313.3114792825 +44.3872613478      ;    11.94 -2.08     ;6.21      ;-19.5      ;4.77     
43  ;* pi.02 Cyg                        ;SB*;326.6983679908 +49.3095697489      ;     2.77 -2.00     ;2.95      ;-12.3      ;4.18     
44  ;* bet Lac                          ;** ;335.8900989442 +52.2290457375      ; -13.25 -186.77     ;19.19     ;-11.42     ;4.44     
45  ;* zet Cas                          ;Pu*;009.2428507775 +53.8969075864      ;    17.38 -9.86     ;5.50      ;-0.20      ;3.66     
46  ;* mu. Cas                          ;SB*;017.0679289393637 +54.9201558892397;3468.251 -1564.844  ;130.2881  ;-98.10     ;5.17     
47  ;* 65 And                           ;*  ;036.4059290671700 +50.2786287040900; 24.289 -14.483     ;7.6317    ;-4.93      ;4.710    
48  ;* 64 And                           ;*  ;036.1038166422500 +50.0065433325100; 24.574 -35.977     ;8.0682    ;-13.34     ;5.19     
49  ;* kap Per                          ;PM*;047.3741818335442 +44.8574582857297;165.691 -138.559    ;28.7314   ;29.40      ;3.81     
50  ;* l Per                            ;PM*;050.3606615005000 +43.3296508679400; -61.008 -0.964     ;20.9522   ;-9.00      ;4.946    
51  ;* alf Cyg                          ;sg*;310.35797975 +45.28033881          ;      2.01 1.85     ;2.31      ;-4.90      ;1.25     
52  ;* 55 Cyg                           ;s*b;312.2345483006000 +46.1141343458400;  -2.233 -2.516     ;0.5435    ;-7.2       ;4.86     
53  ;* f02 Cyg                          ;*  ;316.6503908975 +47.6484025083      ;     6.53 -1.41     ;3.16      ;-26.32     ;4.514    
54  ;* f01 Cyg                          ;Be*;314.9564755197900 +47.5209343740100;    7.857 4.065     ;1.4681    ;1.40       ;4.75     
55  ;* pi.01 Cyg                        ;SB*;325.5236024242 +51.1896226439      ;     5.29 -1.78     ;1.89      ;-8.20      ;4.66     
56  ;* tau Cas                          ;PM*;356.7643932733900 +58.6519910357300;  60.379 56.828     ;18.7789   ;-20.48     ;4.873    
57  ;* rho Cas                          ;LP*;358.5959688760500 +57.4993818715000;  -4.699 -3.112     ;0.9470    ;-54.30     ;4.59     
58  ;* alf Cas                          ;PM*;010.1268377829 +56.5373311583      ;   50.88 -32.13     ;14.29     ;-4.204     ;2.23     
59  ;* eta Cas                          ;PM*;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404      ;3.44     
60  ;* tet Cas                          ;PM*;017.7756760283 +55.1499020164      ;  226.77 -18.75     ;24.42     ;2.50       ;4.330    
61  ;* g Per                            ;*  ;030.5754516905400 +54.4875403155500;  34.245 -2.924     ;4.0763    ;-2.30      ;5.04     
62  ;* tet Per                          ;PM*;041.0499442308762 +49.2284485192150;334.708 -89.251     ;89.6850   ;24.394     ;4.11     
63  ;* nu. Per                          ;*  ;056.2984668088 +42.5785508022      ;    -14.45 2.53     ;5.86      ;-12.10     ;3.80     
64  ;* zet Cep                          ;EB*;332.7136538163 +58.2012626631      ;     13.52 5.24     ;3.90      ;-17.83     ;3.35     
65  ;* del Cep                          ;cC*;337.2927709100 +58.4151982933      ;     15.35 3.52     ;3.77      ;-24.00     ;3.75     
66  ;* 1 Cas                            ;*  ;346.6534077321 +59.4197599161      ;     6.94 -1.95     ;2.89      ;-9.10      ;4.840    
67  ;* bet Cas                          ;dS*;002.29452158 +59.14978110          ; 523.50 -179.77     ;59.58     ;4.30       ;2.27     
68  ;* ups01 Cas                        ;PM*;013.7506487615800 +58.9726992072100;-31.200 -44.986     ;9.062     ;-22.36     ;4.820    
69  ;* ups02 Cas                        ;Pe*;014.1662714433700 +59.1810570241900;-92.611 -45.397     ;16.6465   ;-47.941    ;4.622    
70  ;* gam Cas                          ;Be*;014.1772154 +60.7167403            ;    25.65 -3.82     ;5.32      ;-6.8       ;2.39     
71  ;* chi Cas                          ;*  ;023.4828394889600 +59.2320539143100;-44.188 -18.538     ;16.2553   ;6.66       ;4.681    
72  ;* phi Cas                          ;s*y;020.0204852774400 +58.2316132344100;  -1.479 -1.231     ;0.2142    ;-18.90     ;4.98     
73  ;* i Per                            ;sg*;035.5893096279400 +55.8456528759100;   0.640 -1.692     ;0.7852    ;-15.2      ;5.17     
74  ;* tau Per                          ;EB*;043.5644905034600 +52.7624674264700;  -8.311 -2.580     ;12.3726   ;2.20       ;3.96     
75  ;* 29 Per                           ;*  ;049.6572570530000 +50.2221763049100; 23.008 -24.435     ;5.5326    ;-1.50      ;5.157    
76  ;* 31 Per                           ;*  ;049.7818303531400 +50.0949693787300; 22.756 -24.446     ;5.7653    ;-1.60      ;5.032    
77  ;* sig Per                          ;V* ;052.6436890250900 +47.9952163484000;   3.954 18.968     ;9.506     ;14.36      ;4.36     
78  ;* 30 Cyg                           ;V* ;303.3252244331900 +46.8156752644300;  13.597 -1.396     ;5.1207    ;-26.00     ;4.819    
79  ;* omi02 Cyg                        ;EB*;303.8680175512000 +47.7142260923600;   0.180 -2.319     ;3.2558    ;-14.4      ;3.98     
80  ;* ome01 Cyg                        ;Pu*;307.5147539413700 +48.9515668247800;   10.058 6.873     ;2.5459    ;-21.90     ;4.936    
81  ;* mu. Cep                          ;s*r;325.8769210725 +58.7800444947      ;     5.36 -3.51     ;0.55      ;23.00      ;4.08     
82  ;* lam Cep                          ;s*b;332.8774021296000 +59.4144872958000; -7.020 -10.812     ;1.1761    ;-75.10     ;5.05     
83  ;* 4 Cas                            ;V* ;351.2094265613 +62.2828081542      ;   12.29 -12.44     ;4.15      ;-38.98     ;4.955    
84  ;* kap Cas                          ;s*b;008.2499633179 +62.9317826039      ;     3.65 -2.07     ;0.73      ;0.30       ;4.16     
85  ;* del Cas                          ;EB*;021.4539644621 +60.2352840297      ;  296.57 -49.22     ;32.81     ;6.70       ;2.680    
86  ;* eta Per                          ;*  ;042.6742066267 +55.8954965489      ;   16.23 -13.54     ;3.71      ;-1.784     ;3.79     
87  ;* gam Per                          ;EB*;046.1991280875 +53.5064357569      ;     0.51 -5.92     ;13.41     ;3.13       ;2.93     
88  ;* alf Per                          ;V* ;051.0807087183 +49.8611792931      ;   23.75 -26.23     ;6.44      ;-2.158     ;1.79     
89  ;* 34 Per                           ;*  ;052.34187580 +49.50894762          ;   22.20 -29.49     ;6.05      ;-3.50      ;4.735    
90  ;* psi Per                          ;Be*;054.1224159279 +48.1926330392      ;   22.55 -27.78     ;5.59      ;-1.1       ;4.23     
91  ;* del Per                          ;Be*;055.7312677338 +47.7875485092      ;   25.58 -43.06     ;6.32      ;4.00       ;3.01     
92  ;* del Cyg                          ;PM*;296.2436605888 +45.1308100183      ;    44.07 48.66     ;19.77     ;-23.60     ;2.87     
93  ;* e Cyg                            ;*  ;300.3398474439200 +50.1046932813000;   16.400 5.490     ;7.209     ;-0.25      ;5.048    
94  ;* nu. Cep                          ;sg*;326.3621865783 +61.1208055269      ;    -3.74 -2.10     ;0.48      ;-25.90     ;4.29     
95  ;* 9 Cep                            ;Pu*;324.4801005810100 +62.0819417713300;  -2.007 -4.293     ;1.0251    ;-13.50     ;4.73     
96  ;* 19 Cep                           ;*  ;331.2866239721200 +62.2798146027600;  -1.595 -3.026     ;1.0221    ;-12.30     ;5.11     
97  ;* 20 Cep                           ;PM*;331.2520784900299 +62.7856711975100;  14.416 58.123     ;10.6734   ;-23.49     ;5.265    
98  ;* ksi Cep                          ;** ;330.94772911 +64.62797577          ;   215.46 91.06     ;33.79     ;-10.74     ;4.29     
99  ;* 30 Cep                           ;*  ;339.6627156619500 +63.5844713744100;  0.196 -19.295     ;10.6477   ;10.40      ;5.188    
100 ;* iot Cep                          ;PM*;342.4200705979 +66.2004065600      ; -65.89 -125.17     ;28.29     ;-12.763    ;3.54     
101 ;* eps Cas                          ;Be*;028.5988920257000 +63.6701000663300; 29.587 -18.387     ;7.0037    ;-8.30      ;3.37     
102 ;* k Per                            ;PM*;046.3850479466800 +56.7057188123200; -12.960 69.781     ;15.1897   ;-45.65     ;4.766    
103 ;* c Per                            ;Be*;062.1653839908 +47.7125119269      ;   21.73 -33.61     ;6.84      ;0.8        ;4.03     
104 ;* psi Cyg                          ;SB*;298.9074524163700 +52.4389390157600;-37.044 -27.970     ;11.5546   ;-10.00     ;5.02     
105 ;* 33 Cyg                           ;PM*;303.3494442246 +56.5677222014      ;    61.82 82.18     ;20.48     ;-18.00     ;4.271    
106 ;* alf Cep                          ;PM*;319.64488470 +62.58557446          ;   150.55 49.09     ;66.50     ;-15.80     ;2.460    
107 ;* 6 Cep                            ;Be*;319.8425843600 +64.8718561431      ;      5.20 5.69     ;1.64      ;-16.50     ;5.18     
108 ;* psi Cas                          ;PM*;021.4834265888 +68.1300127772      ;    75.50 26.93     ;16.72     ;-12.83     ;4.727    
109 ;* lam Per                          ;*  ;061.6460149808 +50.3512638775      ;  -12.75 -35.60     ;7.73      ;6.1        ;4.29     
110 ;* mu. Per                          ;SB*;063.7244271987 +48.4093308800      ;    5.52 -17.37     ;3.62      ;26.46      ;4.16     
111 ;* d Per                            ;bC*;065.3881926825000 +46.4988791227600; 21.659 -35.177     ;6.8802    ;7.30       ;4.812    
112 ;* tet Cyg                          ;PM*;294.1105598179 +50.2211012703      ;   -8.87 262.45     ;54.54     ;-27.581    ;4.48     
113 ;* d Cyg                            ;PM*;297.6571813696754 +52.9879973181400;-10.838 -69.524     ;16.2339   ;-22.04     ;5.03     
114 ;* tet Cep                          ;SB*;307.3954386101400 +62.9941103348500; 34.798 -13.904     ;23.481    ;-6.8       ;4.22     
115 ;* eta Cep                          ;PM*;311.3223981417 +61.8387824269      ;   86.50 818.02     ;70.10     ;-87.407    ;3.410    
116 ;* 42 Cas                           ;EB*;025.7327636534000 +70.6225255840500; 76.295 -14.091     ;11.1166   ;6.60       ;5.174    
117 ;* ome Cas                          ;SB*;029.0001179194500 +68.6852399760700; 15.067 -10.313     ;4.4802    ;-23.8      ;4.968    
118 ;* b Per                            ;SB*;064.5609037442 +50.2955015944      ;   45.42 -56.72     ;10.40     ;19.8       ;4.594    
119 ;* 59 Per                           ;PM*;070.7264017916500 +43.3651202112000; 33.242 -47.640     ;14.0923   ;13.20      ;5.298    
120 ;* iot Cyg                          ;PM*;292.4264946683 +51.7297793972      ;   20.59 128.33     ;26.88     ;-19.5      ;3.755    
121 ;* 23 Cyg                           ;** ;298.3224089945100 +57.5234741390100;    6.036 9.787     ;5.3644    ;-31.60     ;5.132    
122 ;* bet Cep                          ;bC*;322.1649868804 +70.5607151892      ;     12.54 8.39     ;4.76      ;-8.2       ;3.23     
123 ;* 78 Dra                           ;PM*;325.7668470245900 +72.3200855358700;-43.513 -39.985     ;13.1461   ;-40.585    ;5.173    
124 ;* 24 Cep                           ;*  ;332.4517944276000 +72.3412054806800;   33.041 2.809     ;8.2802    ;-16.239    ;4.786    
125 ;* pi. Cep                          ;SB*;346.97439069 +75.38749863          ;    6.81 -34.06     ;13.22     ;-18.6      ;4.41     
126 ;* pi. Cep A                        ;*  ;346.9744639009500 +75.3875108575900;  2.463 -33.829     ;12.1458   ;-26.94     ;4.61     
127 ;* 40 Cas                           ;V* ;024.6288245976800 +73.0400382156800;-11.616 -13.641     ;7.0771    ;-5.08      ;5.281    
128 ;* 48 Cas                           ;SB*;030.48937644 +70.90702507          ;   -55.69 -8.71     ;28.36     ;-5.0       ;4.54     
129 ;* 50 Cas                           ;*  ;030.8587757542 +72.4212938186      ;   -43.57 22.30     ;20.76     ;-18.20     ;3.938    
130 ;* 3 Cam                            ;SB*;069.9778376870400 +53.0795354041500; -5.197 -16.099     ;7.7841    ;-40.50     ;5.073    
131 ;* 16 Lyr                           ;PM*;285.3599275728700 +46.9347631894900; 22.004 -80.894     ;25.7832   ;4.90       ;5.006    
132 ;* kap Cyg                          ;PM*;289.2757027150 +53.3684592708      ;   60.07 122.83     ;26.27     ;-29.36     ;3.76     
133 ;* 53 Dra                           ;PM*;287.9190870874300 +56.8592055311900;  29.887 46.371     ;8.9405    ;-17.91     ;5.125    
134 ;* 54 Dra                           ;PM*;288.4796451188499 +57.7050795588100; -7.294 -73.353     ;19.3662   ;-32.42     ;5.003    
135 ;* e Dra                            ;*  ;300.3689347584199 +64.8209763292800;  9.282 -11.929     ;5.0501    ;-36.12     ;5.27     
136 ;* rho Dra                          ;PM*;300.7044695146 +67.8735637297      ;    16.44 47.31     ;7.61      ;-9.69      ;4.50     
137 ;* 49 Cas                           ;*  ;031.3814588840500 +76.1150601248400;-11.813 -20.561     ;7.7763    ;-0.06      ;5.22     
138 ;* 4 Cam                            ;** ;072.0011371775100 +56.7571769299200;52.892 -140.618     ;18.4464   ;22.50      ;5.275    
139 ;* pi. Dra                          ;*  ;290.1670555483 +65.7145304217      ;    15.09 41.12     ;14.25     ;-28.10     ;4.59     
140 ;* 73 Dra                           ;a2*;307.8766945669800 +74.9546260726300;  7.257 -17.260     ;8.5789    ;10.60      ;5.185    
141 ;* 47 Cas                           ;PM*;031.2809342804 +77.2813400550      ;  139.92 -47.79     ;30.16     ;-20.30     ;5.268    
142 ;* gam Cam                          ;*  ;057.5896204846 +71.3322634700      ;   18.17 -42.85     ;9.09      ;0.20       ;4.604    
143 ;* 7 Cam                            ;SB*;074.3216503850 +53.7521015014      ;    -24.51 7.71     ;8.77      ;-7.9       ;4.433    
144 ;* alf Aur                          ;SB*;079.17232794 +45.99799147          ;  75.25 -426.89     ;76.20     ;29.19      ;0.08     
145 ;* c Dra                            ;SB*;280.6581379154 +55.5394564967      ;    -3.01 23.02     ;9.58      ;-30.0      ;5.026    
146 ;* omi Dra                          ;RS*;282.8003931018900 +59.3883501472600;  79.097 26.328     ;9.5709    ;-38.190    ;4.636    
147 ;* del Dra                          ;PM*;288.1387581854 +67.6615404392      ;    95.74 91.92     ;33.48     ;24.818     ;3.07     
148 ;* sig Dra                          ;PM*;293.0899592077504 +69.6611766125572;597.384 -1738.286   ;173.4939  ;26.734     ;4.680    
149 ;* kap Cep                          ;*  ;302.2222864370300 +77.7114209860200;  11.228 24.615     ;10.1788   ;-22.8      ;4.40     
150 ;* alf Cam                          ;s*b;073.5125433263 +66.3426767964      ;     -0.13 6.89     ;0.52      ;10         ;4.29     
151 ;* bet Cam                          ;*  ;075.8545401287 +60.4422470908      ;   -6.50 -14.15     ;3.74      ;-0.56      ;4.02     
152 ;* 11 Cam                           ;Be*;076.5352197161400 +58.9723731174500;  -6.264 -7.118     ;4.7543    ;-11.00     ;5.08     
153 ;* 16 Cam                           ;PM*;080.8660111447100 +57.5443992073000; 15.017 -54.469     ;9.2929    ;12.00      ;5.250    
154 ;* d Dra                            ;*  ;278.1438441388600 +57.0455960482300;   0.068 -7.961     ;1.02      ;-12.32     ;4.761    
155 ;* 42 Dra                           ;PM*;276.4964040005700 +65.5634809288300;105.816 -26.846     ;11.056    ;31.79      ;4.823    
156 ;* ups Dra                          ;SB*;283.5993828255600 +71.2971962653700;  50.280 42.736     ;8.6601    ;-11.10     ;4.814    
157 ;* tau Dra                          ;PM*;288.8874387506500 +73.3555217541800;-129.430 93.738     ;21.6734   ;-33.70     ;4.45     
158 ;* 59 Dra                           ;PM*;287.2911727526200 +76.5605038387800;52.390 -119.469     ;36.5363   ;-4.90      ;5.107    
159 ;* 2 UMi                            ;PM*;017.1870002175 +86.2570899931      ;   80.65 -11.54     ;11.64     ;8.36       ;4.225    
160 ;* 36 Dra                           ;PM*;273.4743033607241 +64.3972849333867; 352.918 35.572     ;43.1837   ;-36.026    ;4.987    
161 ;* phi Dra                          ;a2*;275.18930101 +71.33781941          ;    -5.03 37.86     ;10.77     ;-16        ;4.22     
162 ;* chi Dra                          ;SB*;275.26409395 +72.73284772          ; 531.21 -349.71     ;124.11    ;31.90      ;3.580    
163 ;* alf UMi                          ;cC*;037.95456067 +89.26410897          ;   44.48 -11.85     ;7.54      ;-16.42     ;2.02     
164 ;* 31 Cam                           ;EB*;088.7409423662000 +59.8883686548400;  0.831 -17.625     ;7.2008    ;-2.9       ;5.200    
165 ;* ksi Aur                          ;*  ;088.7115289053300 +55.7069667084600;  -7.049 12.959     ;13.3702   ;-11.8      ;4.960    
166 ;* del Aur                          ;SB*;089.8817434141460 +54.2847379628627;85.814 -142.928     ;23.0557   ;9.75       ;3.720    
167 ;* pi. Aur                          ;LP*;089.9837413585500 +45.9367349160100;  -3.755 -7.785     ;4.5154    ;0.71       ;4.25     
168 ;* gam Dra                          ;*  ;269.15154118 +51.48889562          ;   -8.48 -22.79     ;21.14     ;-27.91     ;2.230    
169 ;* ksi Dra                          ;PM*;268.3822067642 +56.8726428506      ;    93.82 78.50     ;28.98     ;-26.46     ;3.75     
170 ;* f Dra                            ;PM*;262.9911298304400 +68.1350252214800;-12.689 132.600     ;14.6653   ;-74.57     ;5.074    
171 ;* psi01 Dra A                      ;SB*;265.4835932089400 +72.1488687827700;88.254 -271.791     ;43.95     ;-13.30     ;4.55     
172 ;* eps UMi                          ;RS*;251.4926816843900 +82.0372582842900;   18.925 2.423     ;9.8637    ;-10.57     ;4.212    
173 ;* del UMi                          ;PM*;263.0541529529 +86.5864606603      ;    10.17 53.97     ;18.95     ;-7.6       ;4.336    
174 ;* 1 Lyn                            ;LP?;094.4784128017 +61.5152847431      ;   -10.59 -3.11     ;5.11      ;11.56      ;5.05     
175 ;* iot Her                          ;bC*;264.8661920254 +46.0063333639      ;     -7.48 4.53     ;7.17      ;-18.90     ;3.800    
176 ;* 43 Cam                           ;*  ;103.4260344550600 +68.8883110069500;    4.870 7.705     ;3.5172    ;-21.00     ;5.096    
177 ;* 42 Cam                           ;*  ;102.7378712200600 +67.5719342231200;    0.704 4.757     ;4.1676    ;3.20       ;5.122    
178 ;* 2 Lyn                            ;EB*;094.9057690812 +59.0109634094      ;    -5.35 23.86     ;20.83     ;-2.00      ;4.434    
179 ;* 5 Lyn                            ;*  ;096.7036345972600 +58.4174080228800;  -6.518 -1.714     ;5.2233    ;-4.47      ;5.197    
180 ;* psi01 Aur                        ;s*r;096.2245897925400 +49.2878920061000;  -0.155 -2.131     ;0.4426    ;4.40       ;4.75     
181 ;* bet Dra                          ;*  ;262.6081737329 +52.3013887086      ;   -15.89 12.28     ;8.58      ;-20.825    ;2.81     
182 ;* zet Dra                          ;** ;257.1966498433 +65.7146842733      ;   -20.43 19.61     ;9.93      ;-17.70     ;3.17     
183 ;* zet UMi                          ;V* ;236.0146621467 +77.7944941236      ;    19.91 -1.99     ;8.84      ;-13.10     ;4.274    
184 ;* tet UMi                          ;V* ;232.8538067097200 +77.3493599610900;  -44.146 8.051     ;4.0798    ;-25.49     ;4.982    
185 ;* mu. Dra                          ;** ;256.33385014 +54.47002762          ;   -58.16 67.87     ;36.45     ;-17.30     ;4.92     
186 ;* g Dra                            ;*  ;250.2296621942 +64.5890446008      ;   -0.30 -16.81     ;4.43      ;-1.37      ;4.842    
187 ;* 15 Dra                           ;*  ;246.9958940211100 +68.7681370862700; -24.299 34.349     ;6.7911    ;-6.7       ;4.949    
188 ;* 4 UMi                            ;SB*;212.2121921446600 +77.5475097813300; -30.815 33.335     ;4.318     ;5.86       ;4.805    
189 ;* 15 Lyn                           ;** ;104.3191885867 +58.4227612319      ;   6.08 -122.83     ;18.29     ;1.28       ;4.35     
190 ;* psi06 Aur                        ;SB*;101.9148995443900 +48.7894843761700;    3.988 4.748     ;8.0121    ;-6.51      ;5.216    
191 ;* psi04 Aur                        ;PM*;100.7707169845900 +44.5244494671300;-44.112 -30.066     ;10.1086   ;-76.84     ;5.02     
192 ;* eta Dra                          ;PM*;245.9978597020000 +61.5142097608500; -16.394 57.094     ;35.7163   ;-14.734    ;2.74     
193 ;* gam UMi                          ;dS*;230.1821501629 +71.8340165447      ;   -17.73 17.90     ;6.70      ;-3.90      ;3.002    
194 ;* 11 UMi                           ;*  ;229.2745394303000 +71.8239020380200;    4.073 9.477     ;7.926     ;-17.52     ;5.015    
195 ;* 5 UMi                            ;V* ;216.8814306304 +75.6959921272      ;     8.79 21.76     ;9.09      ;9.34       ;4.235    
196 ;* bet UMi                          ;V* ;222.67635750 +74.15550394          ;   -32.61 11.42     ;24.91     ;16.96      ;2.08     
197 ;* psi10 Aur                        ;V* ;104.4046128688 +45.0940945581      ;   -21.52 -3.12     ;13.54     ;-11.90     ;4.893    
198 ;* 52 Her                           ;a2*;252.30924256 +45.98332279          ;   22.57 -51.35     ;18.10     ;-1.60      ;4.823    
199 ;* 42 Her                           ;PM*;249.6868542052700 +48.9283423250600; -48.049 26.315     ;7.7288    ;-55.567    ;4.90     
200 ;* tet Dra                          ;SB*;240.4722764917 +58.5652515656      ; -319.51 334.97     ;47.54     ;-8.23      ;4.000    
201 ;* 27 UMa                           ;*  ;145.7382868586700 +72.2526176316300;-27.513 -26.907     ;6.8356    ;-18.94     ;5.142    
202 ;* d UMa                            ;RS*;143.6202478032700 +69.8303407060800; -64.043 77.209     ;31.1546   ;-27.07     ;4.57     
203 ;* rho UMa                          ;V* ;135.6362144884100 +67.6296174495200; -21.736 17.726     ;10.1658   ;4.75       ;4.76     
204 ;* 24 Lyn                           ;PM*;115.7517312754 +58.7103597228      ;  -37.50 -52.29     ;12.22     ;8.7        ;4.947    
205 ;* sig02 UMa                        ;** ;137.59810823 +67.13401784          ;   13.13 -90.93     ;49.07     ;-2.98      ;4.80     
206 ;* sig02 UMa A                      ;PM*;137.5981111064500 +67.1340171590100; 13.119 -87.881     ;48.7404   ;-2.92      ;4.813    
