C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
62  ;* eps Ori                  ;* eps Ori                          ;084.05338894 -01.20191914          ;     1.44 -0.78     ;1.65      ;27.30       ;1.69     
63  ;* 27 Lyn                   ;* 27 Lyn                           ;122.1143596729 +51.5066681853      ;   -60.95 -3.11     ;13.04     ;11.00       ;4.797    
64  ;* alf Cnc                  ;* alf Cnc                          ;134.6216842112700 +11.8576804028000; 42.181 -31.160     ;18.3304   ;-12.10      ;4.249    
65  ;* eps Crv                  ;* eps Crv                          ;182.5311690937 -22.6197672175      ;   -71.74 10.25     ;10.26     ;5.00        ;2.98     
66  ;GES J12394825-6035189      ;Cl* Trumpler 20 PMF 4770           ;189.9511174637600 -60.5885753187800;   -7.052 0.167     ;0.2643    ;-40.32      ;     ~   
67  ;* gam Hyi                  ;* gam Hyi                          ;056.8097525879 -74.2389635022      ;   50.85 114.74     ;15.24     ;12.76       ;3.26     
68  ;* 37 Com                   ;* 37 Com                           ;195.0686226596800 +30.7850220713700; -20.750 -6.712     ;5.2918    ;-14.34      ;4.88     
69  ;* zet Cnc                  ;* zet Cnc                          ;123.05302654 +17.64776708          ;  27.61 -151.73     ;39.87     ;-7.93       ;     ~   
70  ;* gam And                  ;* gam01 And                        ;030.97480121 +42.32972842          ;   42.32 -49.30     ;8.30      ;-11.50      ;2.10     
71  ;* eps UMa                  ;* eps UMa                          ;193.5072899675 +55.9598229569      ;   111.91 -8.24     ;39.51     ;-12.70      ;1.77     
72  ;* ups Aur                  ;* ups Aur                          ;087.7601553690100 +37.3055696949700; 36.426 -45.606     ;5.7358    ;37.67       ;4.74     
73  ;* ome Car                  ;* ome Car                          ;153.4342391408 -70.0379045292      ;    -36.01 7.09     ;9.54      ;10.40       ;3.33     
74  ;* nu. Cet                  ;* nu. Cet                          ;038.9686391238 +05.5932471794      ;  -26.51 -22.32     ;9.59      ;6.90        ;4.871    
75  ;SN 2009jb                  ;SN 2009jb                          ;260.92379 +30.49739                ;            ~ ~     ;      ~   ;5642        ;1.07     
76  ;* nu. Oph                  ;* nu. Oph                          ;269.7566329704 -09.7736332922      ;  -9.48 -116.69     ;21.64     ;13.19       ;3.34     
77  ;* J Pup                    ;* J Pup                            ;118.3256579988 -48.1029343544      ;     -5.60 5.76     ;1.97      ;41.00       ;4.24     
78  ;* m Car                    ;* m Car                            ;144.8374978492 -61.3280601906      ;   -34.09 18.55     ;14.45     ;20.00       ;4.498    
79  ;* bet Sge                  ;* bet Sge                          ;295.2622456463300 +17.4760424112200;  8.180 -33.113     ;7.3764    ;-21.76      ;4.38     
80  ;HD 20468                   ;HD 20468                           ;049.6826076454 +34.2226520436      ;     2.75 -8.87     ;2.77      ;0.99        ;4.82     
81  ;* 40 Leo                   ;* 40 Leo                           ;154.9340300522767 +19.4709127684828;-230.589 -214.069   ;47.1255   ;6.237       ;     ~   
82  ;* 3 Cen A                  ;* 3 Cen A                          ;207.9566692712600 -32.9940849454900;-34.743 -29.498     ;9.9104    ;~           ;4.520    
83  ;* del Del                  ;* del Del                          ;310.8647224304 +15.0745770283      ;  -20.44 -43.33     ;14.61     ;9.3         ;4.417    
84  ;* 7 And                    ;* 7 And                            ;348.1375158304 +49.4062070853      ;    90.23 95.56     ;40.67     ;12.10       ;4.52     
85  ;* ups Leo                  ;* ups Leo                          ;174.2372119125 -00.8237489733      ;     1.76 43.37     ;17.97     ;1.79        ;4.30     
86  ;* iot02 Sco                ;* iot02 Sco                        ;267.5462991422900 -40.0904318207600;   2.686 -2.117     ;0.8148    ;-10.20      ;4.803    
87  ;* q Pup                    ;* q Pup                            ;124.6388041308 -36.6592886403      ; -110.33 100.48     ;34.93     ;6.40        ;4.40     
88  ;* alf Tau                  ;* alf Tau                          ;068.98016279 +16.50930235          ;  63.45 -188.94     ;48.94     ;54.398      ;0.86     
89  ;* bet Pyx                  ;* bet Pyx                          ;130.0255984608 -35.3083514275      ;    9.84 -20.80     ;7.84      ;-13.40      ;3.954    
90  ;* gam01 Vel                ;* gam01 Vel                        ;122.3721564041000 -47.3452815034200;   -6.243 9.475     ;2.6052    ;20.0        ;4.173    
91  ;* lam Lyr                  ;* lam Lyr                          ;285.0034402627300 +32.1455132119000;    6.232 9.400     ;2.6269    ;-17.355     ;4.930    
92  ;* zet Cyg                  ;* zet Cyg                          ;318.2341080612 +30.2269154631      ;    6.51 -68.21     ;22.79     ;16.72       ;3.21     
93  ;HR 3220                    ;* B Car                            ;122.2526538201975 -61.3023738607369;-145.711 -301.180   ;36.2472   ;23.12       ;4.742    
94  ;* r Pup                    ;* r Pup                            ;123.3729883200 -35.8995183961      ;     -7.30 9.75     ;3.51      ;35.00       ;4.77     
95  ;* 89 Vir                   ;* 89 Vir                           ;207.4678453962600 -18.1341692527100;-100.681 -38.243    ;14.1268   ;-39.45      ;4.959    
96  ;* del Nor                  ;* del Nor                          ;241.6227152520100 -45.1732800238100; -18.440 41.784     ;31.0627   ;-15.5       ;4.713    
97  ;V* FH Ser                  ;V* FH Ser                          ;277.6960005847200 +02.6144527116500;   1.934 -3.264     ;0.9799    ;~           ;     ~   
98  ;* bet Dra                  ;* bet Dra                          ;262.6081737329 +52.3013887086      ;   -15.89 12.28     ;8.58      ;-20.825     ;2.81     
99  ;* alf Crv                  ;* alf Crv                          ;182.1034021837 -24.7288750983      ;   99.52 -39.19     ;66.95     ;2.80        ;4.00     
100 ;GES J12395628-6033438      ;Cl* Trumpler 20 PMF 5428           ;189.9845276034800 -60.5621795198200;  -6.929 -0.098     ;0.3931    ;-12.93      ;     ~   
101 ;* 15 CMa                   ;* 15 CMa                           ;103.3871132796 -20.2242549208      ;     -5.46 3.58     ;2.68      ;28.00       ;4.83     
102 ;* gam Cet                  ;* gam Cet                          ;040.82516290 +03.23581638          ;-146.10 -146.12     ;40.97     ;-4.90       ;3.47     
103 ;* del UMi                  ;* del UMi                          ;263.0541529529 +86.5864606603      ;    10.17 53.97     ;18.95     ;-7.6        ;4.336    
104 ;HR 3751                    ;HD 81817                           ;144.2720324125 +81.3263808731      ;  -16.62 -16.41     ;3.28      ;-6.98       ;4.255    
105 ;* b02 Cyg                  ;* b02 Cyg                          ;302.3567460879700 +36.8396205440000;   2.739 13.168     ;3.8921    ;-13.6       ;4.93     
106 ;* 56 Peg                   ;* 56 Peg                           ;346.7780795213 +25.4682591450      ;   -0.03 -33.07     ;5.51      ;-27.55      ;4.74     
107 ;* del For                  ;* del For                          ;055.5620939168000 -31.9383622752800;   4.815 13.836     ;3.8528    ;26.00       ;4.973    
108 ;* nu. Per                  ;* nu. Per                          ;056.2984668088 +42.5785508022      ;    -14.45 2.53     ;5.86      ;-12.10      ;3.80     
109 ;TYC 6744-1753-1            ;* l Hya                            ;217.0434467762533 -29.4916379929928;-23.446 -24.638     ;7.5222    ;5.40        ;4.97     
110 ;* mu. Gem                  ;* mu. Gem                          ;095.74011193 +22.51358275          ;  56.39 -110.03     ;14.08     ;54.38       ;2.87     
111 ;* sig Ara                  ;* sig Ara                          ;263.9149565350 -46.5056838189      ;  -25.78 -38.30     ;8.62      ;4.3         ;4.59     
112 ;* nu. Cep                  ;* nu. Cep                          ;326.3621865783 +61.1208055269      ;    -3.74 -2.10     ;0.48      ;-25.90      ;4.29     
113 ;* bet Cep                  ;* bet Cep                          ;322.1649868804 +70.5607151892      ;     12.54 8.39     ;4.76      ;-8.2        ;3.23     
114 ;* 32 Eri A                 ;* 32 Eri A                         ;058.5729241949700 -02.9547332574100;   26.330 0.079     ;9.4562    ;26.30       ;4.70     
115 ;* H Sco                    ;* H Sco                            ;249.0936330012 -35.2553278567      ;    15.61 11.33     ;9.52      ;-2.10       ;4.156    
116 ;* mu. Leo                  ;* mu. Leo                          ;148.1909022646 +26.0069533006      ; -217.31 -54.26     ;26.28     ;13.647      ;3.88     
117 ;* 31 Peg                   ;* 31 Peg                           ;335.3794796033 +12.2051841153      ;      6.32 4.80     ;2.01      ;-5.30       ;4.99     
118 ;* eta Nor                  ;* eta Nor                          ;240.8037409500 -49.2296986306      ;     42.05 9.14     ;14.86     ;-0.3        ;4.643    
119 ;* alf02 Lib                ;* alf02 Lib                        ;222.71963789 -16.04177652          ; -105.68 -68.40     ;43.03     ;-10.0       ;2.75     
120 ;* iot Boo                  ;* iot Boo                          ;214.0413740117000 +51.3672301954700;-149.277 89.135     ;33.8856   ;-18.7       ;4.75     
121 ;GES J12382549-6028310      ;Cl* Trumpler 20 PMF 7123           ;189.6062517825900 -60.4752580422300;  -5.829 -0.711     ;0.2999    ;-21.72      ;     ~   
122 ;* sig CMa                  ;* sig CMa                          ;105.4297824358 -27.9348304928      ;     -5.98 4.59     ;2.91      ;22.11       ;3.47     
123 ;IDS 15505-3340 AB          ;IRAS 15537-3349                    ;239.22417 -33.96528                ;            ~ ~     ;      ~   ;~           ;     ~   
124 ;HR 4522                    ;HD 102350                          ;176.6284273821 -61.1783989875      ;  -21.87 -16.41     ;8.37      ;-2.64       ;4.10     
125 ;Cl Feinstein 1             ;Cl Feinstein 1                     ;166.6800 -59.8200                  ;     -6.57 2.26     ;      ~   ;-13.4       ;4.7      
126 ;* eps Car B                ;* eps Car B                        ;125.628649600 -59.509555400        ;     -25.3 22.7     ;      ~   ;~           ;3.85     
127 ;* gam Gru                  ;* gam Gru                          ;328.4821924842 -37.3648552706      ;   98.07 -13.22     ;15.45     ;0.10        ;3.01     
128 ;* eps02 Lyr                ;* eps02 Lyr                        ;281.09491902 +39.61271808          ;     6.18 50.42     ;20.97     ;-24.40      ;5.23     
129 ;* del Cru                  ;* del Cru                          ;183.7863196854 -58.7489269267      ;  -35.81 -10.36     ;9.45      ;22.2        ;2.752    
130 ;* eps CrB                  ;* eps CrB                          ;239.3968808417421 +26.8778796257681;-77.716 -60.971     ;13.4922   ;-32.42      ;4.130    
131 ;* 29 Boo A                 ;* pi.01 Boo                        ;220.1814954656200 +16.4183266558600;  13.922 15.566     ;10.3357   ;-1.10       ;4.893    
132 ;* P Pup                    ;* P Pup                            ;117.3095639908 -46.3732061678      ;     -4.37 8.66     ;1.98      ;24.0        ;4.11     
133 ;* 4 UMi                    ;* 4 UMi                            ;212.2121921446600 +77.5475097813300; -30.815 33.335     ;4.318     ;5.86        ;4.805    
134 ;* 24 Cep                   ;* 24 Cep                           ;332.4517944276000 +72.3412054806800;   33.041 2.809     ;8.2802    ;-16.239     ;4.786    
135 ;* lam Cru                  ;* lam Cru                          ;193.6632607321 -59.1467007942      ;  -32.92 -14.60     ;8.50      ;12.00       ;4.602    
136 ;V* VV Cep                  ;V* VV Cep                          ;329.1630993729 +63.6255603997      ;    -0.25 -2.56     ;1.33      ;-18.7       ;4.90     
137 ;* k02 Pup                  ;* k02 Pup                          ;114.7077947219200 -26.8038471632100; -17.567 21.662     ;8.3058    ;33.0        ;4.429    
138 ;HR 7659                    ;HD 190056                          ;301.0816375448200 -32.0562963112200; 47.014 -14.643     ;9.3767    ;-11.8       ;4.99     
139 ;* ups02 Eri                ;* ups02 Eri                        ;068.8876597308 -30.5623415919      ;  -49.27 -12.72     ;15.25     ;-4.00       ;3.82     
140 ;V* V841 Oph                ;V* V841 Oph                        ;254.8765602203400 -12.8908715853100;  -4.499 -2.887     ;1.1862    ;-96.0       ;13.606   
141 ;* kap Aur                  ;* kap Aur                          ;093.8445377567 +29.4980766786      ; -70.88 -261.42     ;18.43     ;21.09       ;4.35     
142 ;* 55 UMa                   ;* 55 UMa                           ;169.7828588094300 +38.1855933153700;-47.378 -75.708     ;16.0516   ;-3.0        ;4.80     
143 ;* tau Per                  ;* tau Per                          ;043.5644905034600 +52.7624674264700;  -8.311 -2.580     ;12.3726   ;2.20        ;3.96     
144 ;* gam Cen A                ;* gam Cen A                        ;190.379307321 -48.959912317        ;   -193.6 -11.6     ;      ~   ;~           ;2.82     
145 ;* tau01 Hya                ;* tau01 Hya                        ;142.2872140254600 -02.7689394543100;116.374 -31.265     ;54.9187   ;10.484      ;4.60     
146 ;* rho Per                  ;* rho Per                          ;046.29414106 +38.84027619          ; 129.22 -105.70     ;10.60     ;30.81       ;3.39     
147 ;* nu. Pup                  ;* nu. Pup                          ;099.4402973029 -43.1959333808      ;    -0.44 -3.87     ;8.78      ;30.90       ;3.17     
148 ;V* VZ Cam                  ;V* VZ Cam                          ;112.7686155316600 +82.4114670887200; -3.633 -41.623     ;6.5549    ;11.90       ;4.96     
149 ;* del Tuc                  ;* del Tuc                          ;336.8331794778799 -64.9663602057600;   70.691 8.888     ;11.5977   ;4.10        ;4.49     
150 ;V* V831 Cen                ;V* V831 Cen                        ;198.07331078 -59.92057893          ;  -29.71 -17.40     ;8.61      ;12.00       ;4.593    
151 ;* bet01 Mon                ;* bet Mon A                        ;097.2044600075100 -07.0330593964800;  -6.518 -2.956     ;4.7209    ;20          ;4.60     
152 ;* kap Leo                  ;* kap Leo                          ;141.1635780821 +26.1823236031      ;  -31.64 -48.20     ;16.20     ;28.00       ;4.46     
153 ;* Q Sco                    ;* Q Sco                            ;264.1368964314299 -38.6352477357100;-16.762 -218.275    ;20.6922   ;-48.70      ;4.267    
154 ;* 35 Peg                   ;* 35 Peg                           ;336.9646796510975 +04.6956679056822;77.903 -306.244     ;21.0724   ;54.319      ;4.80     
155 ;* i Dra                    ;* i Dra                            ;207.8580807421 +64.7232701933      ;     1.34 -5.15     ;8.78      ;-12.26      ;4.66     
156 ;HD 123569                  ;HD 123569                          ;212.4783926552800 -53.4389457924500;-145.136 -91.064    ;18.2253   ;-17.09      ;4.736    
157 ;HD 36960                   ;HD 36960                           ;083.7611697492 -06.0020287608      ;     -0.66 0.01     ;2.02      ;27.70       ;4.72     
158 ;* tet Col                  ;* tet Col                          ;091.8818034342700 -37.2529192305000;    0.391 0.121     ;4.1731    ;45.30       ;4.994    
159 ;* eps TrA                  ;* eps TrA                          ;234.1800926358 -66.3170370553      ;   24.35 -54.47     ;16.17     ;-15.5       ;4.104    
160 ;* bet Aps                  ;* bet Aps                          ;250.7694107384317 -77.5174331483869;-281.986 -354.837   ;20.9535   ;-30.30      ;4.24     
161 ;* nu. For                  ;* nu. For                          ;031.1226608629 -29.2968188200      ;     12.79 8.48     ;8.79      ;18.5        ;4.69     
162 ;* gam Equ A                ;* gam Equ                          ;317.5854169671500 +10.1315811021600;45.456 -152.116     ;28.2433   ;-16.489     ;4.68     
163 ;* 2 Cet                    ;* 2 Cet                            ;000.9349493417 -17.3359922050      ;    25.17 -9.16     ;11.98     ;8.00        ;4.536    
164 ;* f02 Cyg                  ;* f02 Cyg                          ;316.6503908975 +47.6484025083      ;     6.53 -1.41     ;3.16      ;-26.32      ;4.514    
165 ;* gam Cae A                ;* gam Cae A                        ;076.1016755827300 -35.4829753748800;125.972 -42.909     ;17.5912   ;9.96        ;4.574    
166 ;* tau03 Eri                ;* tau03 Eri                        ;045.5979139967592 -23.6244717234822;-147.851 -55.251    ;36.9502   ;-9.8        ;4.09     
167 ;LEDA 3129223               ;LEDA 3129223                       ;116.721172 +39.014588              ;            ~ ~     ;      ~   ;4063        ;     ~   
168 ;C 1109-600                 ;Cl Collinder 240                   ;167.91667 -60.30972                ;     -8.60 1.90     ;      ~   ;-8.02       ;3.9      
169 ;* tet02 Ser                ;* tet02 Ser                        ;284.0610042585300 +04.2021276204500;  50.044 28.363     ;24.531    ;-55.00      ;4.98     
170 ;* alf Aur                  ;* alf Aur                          ;079.17232794 +45.99799147          ;  75.25 -426.89     ;76.20     ;29.19       ;0.08     
171 ;* kap Vel                  ;* kap Vel                          ;140.5284067083 -55.0106671342      ;   -11.40 11.52     ;5.70      ;21.9        ;2.473    
172 ;* y Eri                    ;* y Eri                            ;054.2736584858100 -40.2746603362000; -12.532 -9.929     ;13.2285   ;11.50       ;4.58     
173 ;* del Lup                  ;* del Lup                          ;230.3429742725300 -40.6475303691500; -9.163 -17.377     ;6.7296    ;-2.40       ;3.190    
174 ;* 54 Eri                   ;* 54 Eri                           ;070.1104642612400 -19.6714918735900; 24.625 -93.608     ;7.5229    ;-32.90      ;4.30     
175 ;* alf01 Cap                ;* alf01 Cap                        ;304.4119547004400 -12.5082121860300;   21.709 1.643     ;4.0157    ;-25.79      ;4.27     
176 ;* gam02 Vel                ;* gam02 Vel                        ;122.38312556 -47.33658633          ;    -6.07 10.43     ;2.92      ;15.00       ;1.83     
177 ;* alf UMa                  ;* alf UMa                          ;165.93196467 +61.75103469          ; -134.11 -34.70     ;26.54     ;-9.40       ;1.79     
178 ;* eps Cap                  ;* eps Cap                          ;324.2701278279 -19.4660128761      ;     12.79 0.28     ;3.09      ;-23.7       ;4.55     
179 ;* gam02 Leo                ;* gam02 Leo                        ;154.994248821 +19.840750964        ;   306.4 -160.8     ;      ~   ;-36.3       ;     ~   
180 ;Cl Stock 2                 ;Cl Stock 2                         ;033.8560 +59.5220                  ;15.8241 -13.7669    ;2.6367    ;7.08        ;     ~   
181 ;* j Cen                    ;* j Cen                            ;177.4211138933800 -63.7884724075000;  -22.022 2.755     ;4.5957    ;29.00       ;4.308    
182 ;* i Car                    ;* i Car                            ;137.8196703871 -62.3169804167      ;   -37.48 14.59     ;6.01      ;17.5        ;3.943    
183 ;* kap01 Cet                ;* kap01 Cet                        ;049.8404013354 +03.3701986497      ;   269.30 93.75     ;109.41    ;19.359      ;4.85     
184 ;* alf Cyg                  ;* alf Cyg                          ;310.35797975 +45.28033881          ;      2.01 1.85     ;2.31      ;-4.90       ;1.25     
185 ;* f Lup                    ;* f Lup                            ;229.4576586967 -30.1486712528      ;   -10.16 -3.66     ;10.01     ;-2.91       ;4.33     
186 ;* 15 Cyg                   ;* 15 Cyg                           ;296.0691883399700 +37.3543561508400;  72.665 35.379     ;11.0494   ;-23.75      ;4.887    
187 ;* gam Lup                  ;* gam Lup                          ;233.78520145 -41.16675687          ;  -15.62 -25.43     ;7.75      ;2.3         ;2.765    
188 ;* phi Tau                  ;* phi Tau                          ;065.0884004052200 +27.3507523051600;-27.923 -77.134     ;11.4462   ;1.85        ;4.951    
189 ;* 93 Her                   ;* 93 Her                           ;270.0142354889600 +16.7509179428800; -7.269 -10.923     ;4.3043    ;-24.47      ;4.67     
190 ;* z Car                    ;* z Car                            ;166.6351103219600 -62.4241140597600;  -37.621 9.269     ;8.5066    ;-1.07       ;4.606    
