 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
447 	* lam Oph A              	PM*	247.728450 +01.983894      	     ~	 4.18 	 4.15 	     ~	     ~	A0V                   
448 	* zet Ari                	*  	048.72540545 +21.04444730  	     ~	 4.874	 4.880	     ~	     ~	A1V                   
449 	* 23 Tau                 	bC*	056.58155768 +23.94835590  	 3.70 	 4.12 	 4.18 	     ~	 4.16 	B6IVe                 
450 	* eps Ser                	*  	237.70402593 +04.47773087  	     ~	 3.859	 3.713	     ~	     ~	kA2hA5mA7V            
451 	* ksi02 Sgr              	*  	284.43249618 -21.10665591  	 5.82 	 4.69 	 3.51 	 2.71 	 2.12 	G8/K0II/III           
452 	* 29 Vul                 	*  	309.63057866 +21.20117963  	 4.73 	 4.80 	 4.82 	 4.79 	 4.83 	A0V                   
453 	* 27 Mon                 	*  	119.93397115 -03.67958515  	     ~	 6.149	 4.942	     ~	     ~	K1III                 
454 	* iot Cru                	*  	191.40855059 -60.98131763  	     ~	 5.740	 4.693	     ~	     ~	K0III                 
455 	CD-44 10239A             	*i*	233.9708 -44.9572          	     ~	     ~	 5.0  	     ~	     ~	B5                    
456 	* ksi01 Cet              	EB*	033.24997971 +08.84671067  	 5.86 	 5.23 	 4.35 	 3.68 	 3.18 	G6II/III_Ba0.3+DA     
457 	* rho Tau                	dS*	068.46215639 +14.84442312  	 4.98 	 4.90 	 4.65 	 4.41 	 4.29 	A8V                   
458 	HR 3089                  	*  	118.26514740 -49.61304249  	 3.48 	 4.40 	 4.63 	 4.76 	 4.97 	B2V                   
459 	* nu. Tau                	*  	060.78908193 +05.98929977  	     ~	 3.943	 3.898	     ~	     ~	A0.5Va                
460 	* rho Pup                	dS*	121.88603676 -24.30432443  	 3.43 	 3.24 	 2.81 	 2.46 	 2.25 	F5IIkF2IImF5II        
461 	* 58 Oph                 	*  	265.85747375 -21.68319388  	     ~	 5.294	 4.873	     ~	     ~	F5V                   
462 	* eta Boo                	SB*	208.67116217 +18.39772072  	 3.440	 3.250	 2.680	 2.24 	 1.95 	G0IV                  
463 	* h02 Pup                	SB*	123.51217581 -40.34788974  	 6.70 	 5.61 	 4.44 	 3.60 	 2.96 	K1II/III              
464 	* del Ind                	** 	329.47947306 -54.99257612  	     ~	 4.68 	 4.40 	     ~	     ~	F0IV                  
465 	* tet Psc                	*  	351.99206370 +06.37899222  	 6.41 	 5.38 	 4.30 	 3.50 	 2.97 	K1III                 
466 	* kap01 Tau              	dS*	066.34235439 +22.29387154  	     ~	 4.353	 4.210	     ~	     ~	A7IV-V                
467 	* 78 UMa                 	** 	195.18208123 +56.36633616  	     ~	 5.29 	 4.93 	     ~	     ~	F2V                   
468 	* alf01 Cru              	SB*	186.649463 -63.099050      	     ~	 1.32 	 1.4  	     ~	     ~	B0.5IV                
469 	* eps Tuc                	Be*	359.97907339 -65.57713343  	 4.12 	 4.38 	 4.47 	 4.45 	 4.49 	B8V                   
470 	* alf Lyr                	dS*	279.23473479 +38.78368896  	 0.03 	 0.03 	 0.03 	 0.07 	 0.10 	A0Va                  
471 	* iot Tau                	** 	075.77394687 +21.58996187  	     ~	 4.781	 4.626	     ~	     ~	A7V                   
472 	LGGS J013348.28+305208.8 	s?y	023.45117 +30.86911        	     ~	 0.76 	 0.64 	     ~	     ~	~                     
473 	* alf Aps                	*  	221.96546677 -79.04475090  	     ~	 5.285	 3.825	     ~	     ~	K3III                 
474 	* ksi Psc                	SB*	028.38896143 +03.18754161  	     ~	 5.547	 4.621	     ~	     ~	K0III                 
475 	HR 4222                  	*iC	161.71341662 -64.38347342  	 4.06 	 4.70 	 4.85 	     ~	     ~	B4V                   
476 	* tet Sco                	** 	264.32970772 -42.99782799  	     ~	 2.261	 1.862	     ~	     ~	F1III                 
477 	* pi.01 Cyg              	SB*	325.52360242 +51.18962264  	 3.86 	 4.55 	 4.66 	     ~	     ~	B3III                 
478 	* zet02 CrB              	SB*	234.84447155 +36.63581655  	     ~	 4.871	 4.979	     ~	     ~	B7V                   
479 	* lam Cas                	** 	007.94316395 +54.52228492  	     ~	 4.645	 4.732	     ~	     ~	B8Vn                  
480 	* psi10 Aur              	V* 	104.40461287 +45.09409456  	     ~	 4.935	 4.900	     ~	     ~	A2Vn                  
481 	* l Pup                  	sg*	115.95195301 -28.95482556  	 4.06 	 4.09 	 3.93 	 3.68 	 3.50 	A4Iabe                
482 	* 17 Tau                 	Be*	056.21890368 +24.11333645  	 3.19 	 3.59 	 3.70 	 3.71 	 3.80 	B6IIIe                
483 	* psi Oph                	*  	246.02576935 -20.03732734  	 6.37 	 5.53 	 4.50 	 3.72 	 3.22 	K0III                 
484 	* zet CMa                	Ce*	095.07830017 -30.06336673  	 2.12 	 2.83 	 3.00 	     ~	     ~	B2.5V                 
485 	* tau Dra                	V* 	288.88774452 +73.35546580  	 7.15 	 5.70 	 4.45 	 3.55 	 2.97 	K2III:                
486 	* pi. Cen                	** 	170.25169229 -54.49101816  	     ~	 3.743	 3.90 	     ~	     ~	B5Vn                  
487 	* 48 Cas A               	*  	030.489321 +70.907064      	     ~	 4.751	 4.630	     ~	     ~	A2V                   
488 	* ksi Pav                	SB*	275.80676971 -61.49391035  	     ~	 5.875	 4.379	     ~	     ~	K4III                 
489 	* alf Cen                	** 	219.900850 -60.835619      	     ~	 0.4  	-0.1  	     ~	     ~	G2V+K1V               
490 	* lam Boo                	dS*	214.09591165 +46.08830570  	 4.31 	 4.26 	 4.18 	 4.16 	 4.13 	A3Va                  
491 	* phi01 Cet              	V* 	011.04750052 -10.60955046  	     ~	 5.782	 4.775	     ~	     ~	K0III                 
492 	* 111 Her                	*  	281.75530819 +18.18151841  	 4.56 	 4.49 	 4.36 	 4.19 	 4.13 	A5III                 
493 	* gam Sge                	V* 	299.68928594 +19.49214669  	 6.97 	 5.04 	 3.47 	 2.27 	 1.35 	M0III                 
494 	* ome Sgr                	PM*	298.95983829 -26.29953374  	     ~	 5.45 	 4.70 	     ~	     ~	G5IV                  
495 	* f01 Ori                	Em*	093.01366479 +16.13040596  	 4.21 	 4.80 	 4.92 	 4.94 	 5.08 	B5Vn                  
496 	* phi Oph                	*  	247.78486384 -16.61273073  	 5.90 	 5.19 	 4.27 	 3.62 	 3.18 	G8/K0III              
497 	* ome Psc                	*  	359.82787765 +06.86332117  	     ~	 4.410	 4.036	 3.8  	 3.6  	F4V                   
498 	* omi01 CMa              	s*r	103.53313490 -24.18421104  	 7.59 	 5.60 	 3.87 	 2.70 	 1.88 	K2Iab                 
499 	CCDM J18448+3736AD       	** 	281.1971 +37.5997          	     ~	 4.27 	 4.12 	     ~	     ~	Am+F0                 
500 	* gam Lib                	** 	233.88157836 -14.78953551  	 5.67 	 4.93 	 3.91 	 3.20 	 2.65 	K0III                 
501 	* 3 Mon                  	** 	090.46009337 -10.59793237  	 4.24 	 4.82 	 4.94 	     ~	     ~	B5III/V               
502 	* eta Cap                	** 	316.10125551 -19.85499196  	 5.07 	 5.02 	 4.84 	 4.68 	 4.61 	A5V                   
503 	NGC 2547                 	OpC	122.4780 -49.2050          	     ~	 4.75 	 4.7  	     ~	     ~	~                     
504 	NAME LMC                 	G  	080.8942 -69.7561          	     ~	15.46 	 0.4  	     ~	     ~	~                     
505 	* psi Hya                	*  	197.26362608 -23.11806948  	     ~	 5.984	 4.944	     ~	     ~	K0III                 
506 	HR 7633                  	*  	298.98074192 +58.84596762  	 8.47 	 6.51 	 4.96 	 3.56 	 2.92 	K4.5IIIa              
507 	HD 84117                 	PM*	145.56006886 -23.91556957  	     ~	 5.47 	 4.94 	     ~	     ~	F8V                   
508 	NAME SDG                 	G  	283.7629 -30.4783          	     ~	 4.5  	 3.6  	     ~	     ~	~                     
509 	* N Vel                  	V* 	142.80549547 -57.03437716  	     ~	 4.752	 3.179	     ~	     ~	K4/5III               
510 	* N Sco                  	V* 	247.84555417 -34.70436517  	 3.30 	 4.06 	 4.23 	 4.29 	 4.41 	B2III-IV              
511 	* del Cnc                	** 	131.17124671 +18.15430650  	 6.01 	 5.02 	 3.94 	 3.16 	 2.62 	K0III                 
512 	* 9 Aur                  	gD*	076.66929028 +51.59772291  	     ~	 5.280	 4.980	 4.8  	 4.7  	F2V                   
513 	* phi Vir A              	PM*	217.050575 -02.227953      	     ~	 5.522	 4.840	     ~	     ~	G2IV                  
514 	* rho Gem                	** 	112.27799529 +31.78454925  	 4.48 	 4.50 	 4.18 	 3.86 	 3.67 	F1V                   
515 	* D Hya                  	*  	131.59390494 -13.54772148  	 5.86 	 5.22 	 4.32 	 3.64 	 3.18 	G8III                 
516 	* w Car                  	LP?	160.88454229 -60.56661966  	     ~	 6.305	 4.579	     ~	     ~	K4III                 
517 	* alf Lib                	** 	222.7200 -16.0417          	     ~	     ~	 2.8  	     ~	     ~	~                     
518 	* nu. Her                	sr*	269.62562122 +30.18927417  	 4.95 	 4.80 	 4.41 	 4.01 	 3.78 	F2II                  
519 	NGC 2362                 	OpC	109.6708 -24.9550          	     ~	     ~	 4.1  	     ~	     ~	~                     
520 	* eta Tau                	Be*	056.87115231 +24.10513565  	 2.44 	 2.78 	 2.87 	 2.84 	 2.88 	B7III                 
521 	* 15 Mon                 	Be*	100.24441512 +09.89575637  	 3.360	 4.400	 4.640	     ~	 4.88 	O7V+B1.5/2V           
522 	* iot Tel                	*  	293.80411355 -48.09920113  	     ~	 5.987	 4.891	     ~	     ~	K0III                 
523 	* eta Cas A              	*  	012.271438 +57.816500      	     ~	 4.14 	 3.52 	     ~	     ~	GOV                   
524 	* eta Per                	*  	042.67420662 +55.89549655  	 7.38 	 5.48 	 3.79 	 2.56 	 1.67 	K3-Ib-IIa             
525 	* gam02 Del              	*  	311.66459755 +16.12428898  	     ~	 5.31 	 4.27 	 4.1  	     ~	K1IV                  
526 	NGC 3293                 	OpC	158.9550 -58.2300          	     ~	 4.84 	 4.7  	     ~	     ~	B0.7                  
527 	* 52 Her A               	*  	252.309242 +45.983314      	     ~	 4.907	 4.826	     ~	     ~	~                     
528 	* alf For                	** 	048.01886400 -28.98762045  	 4.41 	 4.36 	 3.85 	 3.39 	 3.08 	F6V+G7V               
529 	* Q Vel                  	*  	152.23433131 -51.81126075  	 3.99 	 4.724	 4.849	     ~	     ~	B3III/IV              
530 	HR 4142                  	V* 	157.75858488 -73.22149021  	     ~	 6.662	 4.950	     ~	     ~	K4/5III               
531 	* 113 Her                	SB*	283.686967 +22.645028      	 5.88 	 5.38 	 4.60 	 3.96 	 3.50 	G4III+...             
532 	* lam Cen                	*  	173.94535540 -63.01984203  	 2.96 	 3.10 	 3.14 	 3.10 	 3.11 	B9III                 
533 	* gam Cru                	PM*	187.79149838 -57.11321346  	 5.01 	 3.23 	 1.64 	-0.02 	-1.44 	M3.5III               
534 	* l Aql                  	SB*	309.58450859 -01.10511976  	 5.98 	 5.29 	 4.33 	 3.66 	 3.20 	G8II/III              
535 	* omi Tau                	SB*	051.20332482 +09.02887470  	 5.090	 4.490	 3.600	 2.92 	 2.47 	G6III                 
536 	* chi Cet                	*  	027.39626317 -10.68640761  	 5.04 	 5.00 	 4.68 	 4.38 	 4.22 	F0V                   
537 	* 25 CVn                 	** 	204.36511590 +36.29489825  	     ~	 5.05 	 4.82 	     ~	     ~	A7III+A8V:            
538 	* rho Ori A              	SB*	078.322837 +02.861256      	     ~	 5.72 	 4.48 	     ~	     ~	~                     
539 	* del UMa                	V* 	183.85650264 +57.03261544  	 3.460	 3.410	 3.320	 3.25 	 3.25 	A2Vn                  
540 	CCDM J16001-3824AB       	** 	240.03108 -38.39686        	     ~	 7.8  	 3.6  	     ~	     ~	B3                    
541 	* 35 Com                 	** 	193.32394594 +21.24494701  	     ~	 5.80 	 4.91 	     ~	     ~	G5III                 
542 	* eta Sgr                	LP?	274.40681272 -36.76168520  	 6.37 	 4.67 	 3.11 	 1.55 	 0.23 	M2III                 
543 	* gam Cir A              	*  	230.844404 -59.320703      	     ~	 4.94 	 4.51 	     ~	     ~	B3/4V                 
544 	* tet Pyx                	*  	140.37329522 -25.96543897  	 8.36 	 6.33 	 4.72 	 3.32 	 2.24 	M0III                 
545 	* iot Vir                	V* 	214.00362294 -06.00054537  	 4.64 	 4.60 	 4.08 	     ~	     ~	F7III                 
546 	* gam Cen                	** 	190.37933367 -48.95987152  	 2.15 	 2.16 	 2.17 	 2.14 	 2.14 	A1IV+A0IV             
547 	* d Vel                  	*  	131.09978141 -42.64927796  	     ~	 4.914	 4.064	     ~	     ~	G5III                 
548 	* zet Her A              	*  	250.322771 +31.601936      	     ~	 3.522	 2.879	     ~	     ~	~                     
549 	* del Aql                	** 	291.37458914 +03.11477947  	 3.72 	 3.68 	 3.36 	 3.11 	 2.95 	F1IV-V(n)             
550 	* iot Cen                	PM*	200.14923904 -36.71229019  	 2.77 	 2.76 	 2.73 	 2.68 	 2.69 	kA15hA3mA3va          
551 	GES J12381825-6042585    	*  	189.5761216 -60.7162439    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
552 	* l Eri                  	** 	069.54510358 -14.30401665  	 5.99 	 4.96 	 3.87 	 3.03 	 2.47 	K1III                 
553 	[SC96] Mis 190           	UV 	253.7250 -40.7333          	     ~	     ~	 3.40 	     ~	     ~	~                     
554 	* phi Cas                	s*y	020.02048760 +58.23161232  	 6.15 	 5.66 	 4.98 	 4.34 	 3.78 	F0Ia                  
555 	* nu. Ori                	SB*	091.89302448 +14.76847392  	 3.6  	 4.250	 4.403	     ~	     ~	B3V                   
556 	CCDM J15576+2652A        	*i*	239.39688112 +26.87787875  	 6.650	 5.360	 4.130	     ~	     ~	K2III                 
557 	HR 4162                  	V* 	159.30718350 -27.41263469  	 8.46 	 6.51 	 4.89 	     ~	     ~	M1III                 
558 	* omi02 Cyg              	Al*	303.86801203 +47.71421137  	 6.54 	 5.50 	 3.98 	 2.78 	 1.86 	K3Ib+                 
559 	V* V415 Car              	Al*	102.46380893 -53.62244949  	     ~	 5.312	 4.418	     ~	     ~	G6II                  
560 	* gam PsA                	** 	343.13139638 -32.87550164  	 4.28 	 4.464	 4.501	     ~	     ~	~                     
561 	* gam Cap                	a2*	325.02273533 -16.66230756  	 4.19 	 3.98 	 3.67 	 3.47 	 3.34 	kF0hF1VmF2            
562 	* zet01 UMa              	SB*	200.981429 +54.925361      	 2.11 	 2.29 	 2.23 	 2.10 	 2.12 	A1.5Vas               
563 	* mu. Vir                	PM*	220.76509509 -05.65820353  	 4.25 	 4.26 	 3.88 	 3.48 	 3.26 	F2V                   
564 	[SC96] GC 236            	UV 	268.4250 -34.7500          	     ~	     ~	 4.89 	     ~	     ~	Snnev...              
565 	* zet02 UMa              	SB*	200.984708 +54.921822      	     ~	 4.05 	 3.88 	     ~	     ~	kA1h(eA)mA7IV-V       
566 	HR 2934                  	V* 	113.91550986 -52.53383458  	     ~	 6.357	 4.938	     ~	     ~	K3III                 
567 	HR 4549                  	*  	177.96344127 -65.20590704  	 4.19 	 4.803	 4.929	     ~	     ~	B4V                   
568 	* rho Leo                	s*b	158.20279865 +09.30658596  	 2.780	 3.720	 3.870	 3.90 	 4.06 	B1Iab                 
569 	* eta Ser                	V* 	275.32750232 -02.89882682  	 4.84 	 4.19 	 3.25 	 2.55 	 2.05 	K0III-IV              
570 	* g Eri                  	*  	057.36352199 -36.20025113  	 5.80 	 5.12 	 4.17 	 3.46 	 2.96 	G8III                 
571 	* gam Tuc                	*  	349.35738424 -58.23573020  	 4.35 	 4.37 	 3.98 	 3.57 	 3.33 	F4V                   
572 	* c Boo                  	V* 	226.82527528 +24.86919478  	 5.34 	 5.36 	 4.93 	 4.53 	 4.32 	F5V                   
573 	* I Car                  	V* 	156.09877488 -74.03161210  	 4.35 	 4.36 	 4.01 	 3.67 	 3.48 	F3V                   
574 	* kap02 Boo              	dS*	213.37086406 +51.78996822  	     ~	 4.74 	 4.51 	     ~	     ~	A7IV                  
575 	* k Sco                  	s*b	256.20563446 -34.12293007  	 4.44 	 5.13 	 4.87 	 4.59 	 4.42 	B2Iab                 
576 	* 47 Cyg                 	** 	308.47577926 +35.25085165  	     ~	 6.181	 4.663	     ~	     ~	K6:Ib+B2.5:           
577 	* del Ser                	** 	233.70061506 +10.53886800  	     ~	 4.05 	 3.79 	     ~	     ~	F0                    
578 	* gam Leo                	** 	154.99312733 +19.84148522  	     ~	 3.79 	 2.37 	     ~	     ~	K1-III+G7IIIb         
579 	* ksi Her                	sr*	269.44119046 +29.24787987  	 5.34 	 4.64 	 3.70 	 3.01 	 2.55 	G8III                 
580 	* tet Cet                	HB*	021.00585534 -08.18325590  	 5.57 	 4.65 	 3.59 	 2.83 	 2.26 	K0III                 
581 	HR 574                   	*  	029.29201058 -47.38527346  	     ~	 5.682	 4.841	     ~	     ~	G8III                 
582 	* ksi01 Cen              	*  	195.88877199 -49.52726439  	     ~	 4.857	 4.830	     ~	     ~	A0V                   
583 	* zet And                	RS*	011.83468946 +24.26717801  	 6.05 	 5.18 	 4.06 	 3.21 	 2.62 	K1III+KV              
584 	* eps Hyi                	PM*	039.89733837 -68.26694731  	 3.91 	 4.060	 4.106	     ~	     ~	B9Va                  
585 	* omi Hya                	*  	175.05329043 -34.74465926  	 4.41 	 4.63 	 4.70 	 4.69 	 4.74 	B9V                   
586 	* nu. Cas                	V* 	012.20842455 +50.96816716  	     ~	 4.812	 4.901	     ~	     ~	B9III                 
587 	* eta Col                	*  	089.78668830 -42.81513394  	 6.18 	 5.10 	 3.96 	 3.14 	 2.56 	G8/K1II               
588 	* 9 Peg                  	V* 	326.12789922 +17.35001585  	 6.48 	 5.52 	 4.35 	 3.53 	 2.98 	G5Ib                  
589 	* eta Cet                	HB*	017.14746451 -10.18226582  	 5.80 	 4.61 	 3.45 	 2.61 	 2.03 	K1III                 
590 	* mu. Tau                	*  	063.88356946 +08.89235624  	 3.74 	 4.214	 4.280	     ~	     ~	B3IV                  
591 	* del Eri                	RS*	055.81208699 -09.76339122  	 5.13 	 4.46 	 3.54 	 2.82 	 2.32 	K0+IV                 
592 	* zet Del                	*  	308.82723181 +14.67421319  	     ~	 4.768	 4.664	     ~	     ~	A3V                   
593 	* h Dra                  	SB*	254.00703853 +65.13479531  	     ~	 5.37 	 4.89 	 4.6  	 4.4  	F8V                   
594 	* del Ari                	PM*	047.90735272 +19.72667769  	 6.26 	 5.40 	 4.37 	 3.60 	 3.09 	K2III                 
595 	* alf Crt                	PM*	164.94360359 -18.29878257  	 6.14 	 5.16 	 4.07 	 3.27 	 2.72 	K1III                 
596 	* ksi And                	*  	020.58508017 +45.52877787  	     ~	 5.953	 4.875	     ~	     ~	K0-IIIb               
597 	* eps Cir                	*  	229.41204696 -63.61046635  	     ~	 6.127	 4.854	     ~	     ~	K2III                 
598 	2MASS J11143546-2112534  	HB*	168.64775 -21.21486        	     ~	15.800	 0.1  	15.800	     ~	~                     
599 	* tau Ori                	*  	079.40161902 -06.84440839  	 3.01 	 3.47 	 3.59 	     ~	     ~	B5III                 
600 	* sig Pup                	SB*	112.30762705 -43.30143324  	 6.54 	 4.77 	 3.25 	 2.04 	 1.12 	K5III                 
601 	* rho Gru                	*  	340.87490227 -41.41434630  	     ~	 5.856	 4.847	     ~	     ~	K0III                 
602 	V* V424 Lac              	LP*	344.10832574 +49.73354255  	 8.66 	 6.71 	 4.94 	 3.59 	 2.54 	K5Ib                  
603 	* 9 Boo                  	Ir*	209.14242062 +27.49208115  	 8.160	 6.440	 5.000	     ~	     ~	K4II-III              
604 	* e Leo                  	*  	172.57872098 -03.00349735  	 8.14 	 6.31 	 4.77 	     ~	     ~	K3/4III               
605 	* 72 Oph                 	*  	271.83743304 +09.56384725  	 3.95 	 3.85 	 3.73 	 3.59 	 3.54 	A5V                   
606 	* mu. Vel                	*  	161.69241154 -49.42025679  	 4.16 	 3.59 	 2.69 	 2.01 	 1.52 	G6III                 
607 	IDS 10350-5840 AB        	** 	159.6875 -59.1817          	     ~	 6.14 	 4.66 	     ~	     ~	~                     
608 	HD 110956                	*  	191.59464415 -56.48881572  	 3.86 	 4.469	 4.612	     ~	     ~	B2/3V                 
609 	* d Cen                  	*  	202.76106915 -39.40730528  	 6.08 	 5.04 	 3.88 	 3.04 	 2.45 	G8II/III              
610 	* e Eri                  	PM*	049.98187889 -43.06978264  	 5.20 	 4.98 	 4.27 	 3.65 	 3.25 	G8III                 
611 	* mu.01 Lup              	*  	229.633450 -47.875292      	     ~	 4.837	 4.945	     ~	     ~	B7V                   
612 	GES J12382333-6042241    	*  	189.5972889 -60.7066755    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
613 	V* V656 Her              	LP?	260.07863029 +18.05707979  	 8.68 	 6.62 	 5.00 	     ~	     ~	M2III                 
614 	* gam Cir                	** 	230.84434558 -59.32078142  	 4.35 	 4.70 	 4.51 	 6.14 	     ~	B3/4V+F8V             
615 	HR 2113                  	V* 	090.01395724 -03.07425545  	 6.95 	 5.74 	 4.52 	 3.59 	 2.92 	K1IV                  
616 	* iot Aql                	*  	294.18031692 -01.28660030  	 3.84 	 4.28 	 4.36 	 4.34 	 4.42 	B5III                 
617 	* pi. CMa                	V* 	103.90596244 -20.13649729  	     ~	 5.019	 4.687	     ~	     ~	F1.5V                 
618 	* pi. Cen A              	*  	170.251688 -54.491022      	     ~	 3.89 	 4.08 	     ~	     ~	~                     
619 	* 68 Cyg                 	SB*	319.61327339 +43.94594639  	 4.05 	 4.99 	 5.00 	     ~	     ~	O7.5III               
620 	* eps Sgr                	** 	276.04299335 -34.38461649  	 1.69 	 1.82 	 1.85 	 1.85 	 1.86 	B9.5III               
621 	* iot And                	*  	354.53417207 +43.26807358  	 3.90 	 4.18 	 4.29 	 4.29 	 4.38 	B8V                   
622 	* ups Dra                	SB*	283.59940132 +71.29719182  	     ~	 5.978	 4.827	     ~	     ~	K0III                 
623 	* del Gem A              	*  	110.030788 +21.982339      	     ~	 3.855	 3.518	     ~	     ~	F2VkF0mF0             
624 	* tet Vir                	*  	197.48746111 -05.53900515  	     ~	 4.381	 4.381	     ~	     ~	A1IVs+...             
625 	* mu.01 Sco              	bL*	252.96762965 -38.04738039  	 1.98 	 2.82 	 2.98 	     ~	     ~	B1.5Vp+...            
626 	* phi Per                	Be*	025.91515800 +50.68873134  	 3.10 	 4.02 	 4.06 	 3.90 	 3.88 	B1.5V:e-shell         
627 	* lam Mus                	*  	176.40174650 -66.72876221  	 3.96 	 3.81 	 3.65 	 3.51 	 3.43 	A7V                   
628 	* 71 Tau                 	dS*	066.58642051 +15.61826810  	     ~	 4.727	 4.490	 5.96 	 4.15 	F0V                   
629 	C 0712-310               	OpC	108.8333 -30.6833          	     ~	     ~	 3.6  	     ~	     ~	~                     
630 	C 0652-245               	OpC	104.0833 -24.7300          	     ~	 3.02 	 2.6  	     ~	     ~	~                     
631 	* 57 Cyg                 	Al*	313.31147928 +44.38726134  	 4.05 	 4.63 	 4.77 	 4.84 	 4.97 	B5V                   
632 	* 9 Hya                  	PM*	130.43056777 -15.94338462  	     ~	 5.932	 4.873	     ~	     ~	K0IIICNII             
633 	* bet Com                	PM*	197.96830746 +27.87818153  	 4.92 	 4.84 	 4.25 	 3.77 	 3.47 	F9.5V                 
634 	* f Per                  	SB*	063.72216868 +40.48367509  	     ~	 5.650	 4.691	     ~	     ~	G5II+A2V              
635 	* psi01 Aur              	s*r	096.22458869 +49.28789442  	 8.85 	 6.67 	 4.75 	 3.36 	 2.29 	K5-M1Iab-Ib           
636 	* c Car                  	*  	133.76178425 -60.64461106  	 3.28 	 3.74 	 3.80 	     ~	     ~	B8/9II                
637 	* gam Vir A              	*  	190.416596 -01.449514      	     ~	 3.80 	 3.440	     ~	     ~	F0IV                  
638 	* del Ori B              	*  	083.001708 -00.299136      	     ~	     ~	 3.76 	     ~	     ~	O9V                   
639 	* 16 Aur                 	SB*	079.54404256 +33.37161348  	     ~	 5.828	 4.552	 3.8  	 3.2  	K2.5IIIb              
640 	* 102 Her                	*  	272.18954758 +20.81455774  	 3.38 	 4.191	 4.355	     ~	     ~	B2IV                  
641 	* zet Sgr                	** 	285.65304266 -29.88006330  	     ~	 2.704	 2.607	     ~	     ~	A2.5Va                
642 	V* X Sgr                 	cC*	266.89010133 -27.83078694  	 5.84 	 5.34 	 4.54 	     ~	 3.661	F7II                  
643 	* omi Per                	SB*	056.07971685 +32.28824802  	 3.13 	 3.88 	 3.83 	 3.71 	 3.71 	B1III                 
644 	* gam Cyg                	V* 	305.55709098 +40.25667916  	 3.44 	 2.90 	 2.23 	 1.74 	 1.40 	F8Ib                  
645 	* del Her A              	** 	258.757963 +24.839192      	     ~	 3.189	 3.103	     ~	     ~	A1IVn                 
646 	* y Car                  	Pu*	168.15005658 -60.31762544  	 5.20 	 5.17 	 4.62 	 4.07 	 3.71 	A7/8Ia/ab             
647 	* kap Oph                	LP?	254.41707438 +09.37503128  	 5.52 	 4.36 	 3.20 	 2.36 	 1.82 	K2III                 
648 	* rho Boo                	V* 	217.95745674 +30.37143836  	 6.33 	 4.89 	 3.59 	 2.67 	 2.02 	K3III                 
649 	* 16 Com                 	*iC	186.74707119 +26.82570003  	     ~	 5.061	 4.965	     ~	 4.93 	A4V                   
650 	* i Boo                  	WU*	225.94706520 +47.65406188  	     ~	 5.41 	 4.76 	     ~	     ~	G0Vn                  
651 	* alf Cha                	*  	124.63147162 -76.91972123  	     ~	 4.436	 4.066	     ~	     ~	F5VFe-0.8             
652 	Weis 52699               	*  	196.7867 +27.6125          	     ~	 6.28 	 4.80 	     ~	     ~	K5III-IV              
653 	GES J12382279-6035046    	*  	189.5950468 -60.5846051    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
654 	RX J1724.2+6957          	X  	261.07133 +69.94653        	     ~	 5.37 	 4.89 	     ~	     ~	~                     
655 	* lam Leo                	V* 	142.93011473 +22.96796956  	 7.74 	 5.85 	 4.31 	 3.09 	 2.19 	K4.5III               
656 	HR 2450                  	*  	099.81966442 -14.14576301  	     ~	 6.349	 4.832	     ~	     ~	K2III                 
657 	GES J12382355-6034040    	*  	189.5982373 -60.5677779    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
658 	SN 1572A                 	SN*	006.3397 +64.1408          	     ~	     ~	-4.0  	     ~	     ~	B8                    
659 	* 35 Ari                 	SB*	040.86296604 +27.70714536  	 3.91 	 4.54 	 4.67 	 4.69 	 4.82 	B3V                   
660 	* g Car                  	V* 	139.05030357 -57.54147241  	     ~	 6.010	 4.349	     ~	     ~	M1III                 
661 	* 13 Mon                 	*iN	098.22595618 +07.33297062  	 4.30 	 4.50 	 4.50 	 4.40 	 4.36 	A0I                   
662 	* 110 Her                	V* 	281.41552377 +20.54631030  	 4.66 	 4.65 	 4.19 	 3.80 	 3.54 	F6V                   
663 	HR 8702                  	*  	341.87111550 +83.15383011  	     ~	 6.064	 4.783	     ~	     ~	K3III                 
664 	GES J12382287-6040575    	*  	189.5953607 -60.6826394    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
665 	* bet02 Tuc C            	*  	007.889450 -62.965564      	     ~	 4.611	 4.488	     ~	     ~	~                     
666 	* eta UMi                	PM*	244.37619567 +75.75533014  	     ~	 5.32 	 4.95 	 4.7  	 4.6  	F5V                   
667 	* ups02 Hya              	V* 	151.28112034 -13.06462670  	 4.22 	 4.515	 4.594	     ~	     ~	B8V                   
668 	* alf Eri                	Be*	024.42852282 -57.23675279  	-0.36 	 0.30 	 0.46 	 0.49 	 0.60 	B6Vpe                 
669 	* zet CrA                	PM*	285.77865408 -42.09510717  	     ~	 4.716	 4.734	     ~	 4.76 	B9.5Vann              
