C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
48  ;* alf Lep  ;* alf Lep                          ;V* ;05 32 43.8161188 -17 49 20.241380      ;      3.56 1.18    ; 3.02 
49  ;* alf Lib  ;* alf02 Lib                        ;SB*;14 50 52.71309 -16 02 30.3955          ; -105.68 -68.40    ; 2.99 
50  ;* alf Lup  ;* alf Lup                          ;bC*;14 41 55.7557866 -47 23 17.515486      ;  -20.94 -23.67    ; 1.22 
51  ;* alf Lyn  ;* alf Lyn                          ;PM*;09 21 03.3002104870 +34 23 33.213441656;-218.723 16.555    ; 6.63 
52  ;V* alf Lyr ;* alf Lyr                          ;dS*;18 36 56.33635 +38 47 01.2802          ;  200.94 286.23    ; 0.03 
53  ;* alf Men  ;* alf Men                          ;PM*;06 10 14.4741194137 -74 45 10.963587125;121.203 -212.100   ;     ~
54  ;* alf Mic  ;* alf Mic                          ;*  ;20 49 58.0767496899 -33 46 46.997429373; 18.426 -19.546    ;     ~
55  ;* alf Mon  ;* alf Mon                          ;PM*;07 41 14.8325688 -09 33 04.071083      ;  -74.61 -19.59    ; 5.83 
56  ;* alf Mus  ;* alf Mus                          ;** ;12 37 11.0178886 -69 08 08.033239      ;  -40.20 -12.80    ; 1.62 
57  ;V* alf Oct ;* alf Oct                          ;EB*;21 04 43.0626765409 -77 01 25.566080008;12.985 -369.816    ;     ~
58  ;* alf Oph  ;* alf Oph                          ;** ;17 34 56.06945 +12 33 36.1346          ; 108.07 -221.57    ; 2.32 
59  ;V* alf Ori ;* alf Ori                          ;s*r;05 55 10.30536 +07 24 25.4304          ;    27.54 11.30    ; 4.38 
60  ;* alf Pav  ;* alf Pav                          ;SB*;20 25 38.85705 -56 44 06.3230          ;    6.90 -86.02    ; 1.03 
61  ;* alf Peg  ;* alf Peg                          ;PM*;23 04 45.65345 +15 12 18.9617          ;   60.40 -41.30    ; 2.38 
62  ;* alf Per  ;* alf Per                          ;V* ;03 24 19.3700924 +49 51 40.245455      ;   23.75 -26.23    ; 2.64 
63  ;* alf Phe  ;* alf Phe                          ;SB*;00 26 17.05140 -42 18 21.5539          ; 233.05 -356.30    ;     ~
64  ;* alf Pic  ;* alf Pic                          ;PM*;06 48 11.45512 -61 56 29.0008          ;  -66.07 242.97    ;     ~
65  ;* alf Psc  ;* alf Psc                          ;a2*;02 02 02.81972 +02 45 49.5410          ;     32.45 0.04    ;     ~
66  ;* alf PsA  ;* alf PsA                          ;** ;22 57 39.04625 -29 37 20.0533          ; 328.95 -164.67    ; 1.31 
67  ;* alf Pyx  ;* alf Pyx                          ;V* ;08 43 35.5375544 -33 11 10.989788      ;   -14.27 10.43    ; 2.65 
68  ;* alf Ret  ;* alf Ret                          ;PM*;04 14 25.4841381 -62 28 25.891671      ;    41.97 49.42    ; 4.90 
69  ;* alf Sge  ;* alf Sge                          ;*  ;19 40 05.7918540976 +18 00 50.004597761; 14.630 -20.160    ; 5.59 
70  ;* alf Sgr  ;* alf Sgr                          ;PM*;19 23 53.1748283 -40 36 57.370456      ;  30.49 -119.21    ; 3.54 
71  ;* alf Sco  ;* alf Sco                          ;** ;16 29 24.45970 -26 25 55.2094          ;  -12.11 -23.30    ; 4.08 
72  ;V* alf Scl ;* alf Scl                          ;Ro*;00 58 36.3593029 -29 21 26.824714      ;     20.13 5.31    ; 3.52 
73  ;* alf Sct  ;* alf Sct                          ;PM*;18 35 12.4271571798 -08 14 38.653839451;-18.006 -313.989   ; 6.70 
74  ;* alf Ser  ;* alf Ser                          ;PM*;15 44 16.0743159 +06 25 32.263272      ;   133.84 44.81    ; 5.080
75  ;* alf Sex  ;* alf Sex                          ;*  ;10 07 56.2821310191 -00 22 18.023516548; -11.557 -8.726    ;     ~
76  ;V* alf Tau ;* alf Tau                          ;LP?;04 35 55.23907 +16 30 33.4885          ;  63.45 -188.94    ; 4.32 
77  ;* alf Tel  ;* alf Tel                          ;PM*;18 26 58.4160403 -45 58 06.449765      ;  -16.95 -53.09    ; 2.7  
78  ;V* alf Tri ;* alf Tri                          ;SB*;01 53 04.9070960 +29 34 43.780094      ;  10.82 -234.24    ; 3.96 
79  ;* alf TrA  ;* alf TrA                          ;*  ;16 48 39.89508 -69 01 39.7626          ;   17.99 -31.58    ;     ~
80  ;* alf Tuc  ;* alf Tuc                          ;SB*;22 18 30.0947834 -60 15 34.526307      ;  -70.72 -39.44    ; 5.75 
81  ;* alf UMa  ;* alf UMa                          ;SB*;11 03 43.67152 +61 45 03.7249          ; -134.11 -34.70    ; 3.78 
82  ;* alf UMi  ;* alf UMi                          ;cC*;02 31 49.09456 +89 15 50.7923          ;   44.48 -11.85    ; 3.00 
83  ;V* alf Vir ;* alf Vir                          ;bC*;13 25 11.57937 -11 09 40.7501          ;  -42.35 -30.67    ;-0.20 
84  ;* alf Vol  ;* alf Vol                          ;** ;09 02 26.7959209 -66 23 45.872743      ;   -2.00 -95.51    ;     ~
85  ;* alf Vul  ;* alf Vul                          ;PM*;19 28 42.3299553 +24 39 53.652455      ;-126.13 -107.44    ; 7.77 
86  ;* bet And  ;* bet And                          ;PM*;01 09 43.92388 +35 37 14.0075          ; 175.90 -112.20    ; 5.58 
87  ;* bet Aps  ;* bet Aps                          ;PM*;16 43 04.6585772236 -77 31 02.759334193;-281.986 -354.837  ;     ~
88  ;* bet Aqr  ;* bet Aqr                          ;*  ;21 31 33.5317148 -05 34 16.232006      ;    18.77 -8.21    ; 4.27 
89  ;* bet Aql  ;* bet Aql                          ;PM*;19 55 18.7928429719 +06 24 24.351242346;45.944 -480.965    ; 5.040
90  ;* bet Ara  ;* bet Ara                          ;*  ;17 25 17.9883527 -55 31 47.586765      ;   -8.51 -25.24    ; 5.87 
91  ;* bet Ari  ;* bet Ari                          ;SB*;01 54 38.41099 +20 48 28.9133          ;  98.74 -110.41    ; 2.88 
92  ;* bet Aur  ;* bet Aur                          ;EB*;05 59 31.7229284 +44 56 50.757259      ;   -56.44 -0.95    ; 1.97 
93  ;* bet Boo  ;* bet Boo                          ;Er*;15 01 56.7623786 +40 23 26.040607      ;  -40.15 -28.86    ; 5.21 
94  ;* bet Cae  ;* bet Cae                          ;PM*;04 42 03.4822965118 -37 08 39.590643778;   46.59 193.56    ;     ~
95  ;* bet Cam  ;* bet Cam                          ;*  ;05 03 25.0896309 +60 26 32.089527      ;   -6.50 -14.15    ; 5.57 
96  ;* bet Cnc  ;* bet Cnc                          ;PM*;08 16 30.9210081 +09 11 07.957924      ;  -46.82 -49.24    ; 6.750
97  ;* bet CVn  ;* bet CVn                          ;** ;12 33 44.5442516547 +41 21 26.921352859;-704.702 292.155   ; 4.91 
98  ;* bet CMa  ;* bet CMa                          ;bC*;06 22 41.9853527 -17 57 21.307352      ;    -3.23 -0.78    ; 0.77 
99  ;V* bet CMi ;* bet CMi                          ;Be*;07 27 09.0417373 +08 17 21.536745      ;  -51.76 -38.29    ; 2.52 
100 ;* bet Cap  ;* bet Cap                          ;** ;20 21 00.67 -14 46 53.0                ;            ~ ~    ;     ~
101 ;* bet Car  ;* bet Car                          ;PM*;09 13 11.97746 -69 43 01.9473          ; -156.47 108.95    ; 1.72 
102 ;* bet Cas  ;* bet Cas                          ;dS*;00 09 10.68518 +59 08 59.2120          ; 523.50 -179.77    ; 2.73 
103 ;V* bet Cen ;* bet Cen                          ;bC*;14 03 49.40535 -60 22 22.9266          ;  -33.27 -23.16    ;     ~
104 ;V* bet Cep ;* bet Cep                          ;bC*;21 28 39.5968513 +70 33 38.574681      ;     12.54 8.39    ; 2.05 
105 ;* bet Cet  ;* bet Cet                          ;PM*;00 43 35.37090 -17 59 11.7827          ;   232.55 31.99    ; 3.90 
106 ;* bet Cha  ;* bet Cha                          ;V* ;12 18 20.8245890 -79 18 44.070964      ;   -37.97 11.15    ; 3.59 
107 ;* bet Cir  ;* bet Cir                          ;PM*;15 17 30.8501567 -58 48 04.337319      ; -97.74 -134.15    ;     ~
108 ;* bet Col  ;* bet Col                          ;PM*;05 50 57.5921991 -35 46 05.915211      ;   54.77 404.20    ; 5.49 
109 ;* bet Com  ;* bet Com                          ;PM*;13 11 52.3938268062 +27 52 41.462309460;-800.720 882.301   ; 4.92 
110 ;* bet CrA  ;* bet CrA                          ;*  ;19 10 01.7558032 -39 20 26.864359      ;    4.37 -36.65    ;     ~
111 ;* bet CrB  ;* bet CrB                          ;a2*;15 27 49.7315305 +29 06 20.522375      ;  -180.17 85.92    ; 4.08 
112 ;* bet Crv  ;* bet Crv                          ;PM*;12 34 23.2348393 -23 23 48.337453      ;    1.11 -56.56    ; 4.17 
113 ;* bet Crt  ;* bet Crt                          ;SB*;11 11 39.4817199946 -22 49 33.045519470; 5.220 -103.457    ;     ~
114 ;* bet Cru  ;* bet Cru                          ;bC*;12 47 43.26877 -59 41 19.5792          ;  -42.97 -16.18    ; 0.03 
115 ;* bet Del  ;* bet Del                          ;SB*;20 37 32.94130 +14 35 42.3195          ;  118.09 -48.06    ; 4.16 
116 ;V* bet Dor ;* bet Dor                          ;cC*;05 33 37.5125319201 -62 29 23.323100433;    0.800 9.458    ; 5.13 
117 ;* bet Dra  ;* bet Dra                          ;*  ;17 30 25.9616959 +52 18 04.999351      ;   -15.89 12.28    ; 4.43 
118 ;* bet Equ  ;* bet Equ                          ;PM*;21 22 53.6136517726 +06 48 40.112475890;  53.685 10.136    ;     ~
119 ;* bet Eri  ;* bet Eri                          ;PM*;05 07 50.98549 -05 05 11.2055          ;  -82.82 -75.39    ; 3.02 
120 ;* bet For  ;* bet For                          ;RG*;02 49 05.4192407588 -32 24 21.225509461; 85.741 158.972    ; 6.14 
121 ;* bet Gem  ;* bet Gem                          ;PM*;07 45 18.94987 +28 01 34.3160          ; -626.55 -45.80    ; 3.00 
122 ;* bet Gru  ;* bet Gru                          ;LP?;22 42 40.05027 -46 53 04.4752          ;   135.16 -4.38    ; 5.33 
123 ;* bet Her  ;* bet Her                          ;SB*;16 30 13.1995466 +21 29 22.600778      ;  -99.15 -15.39    ; 4.39 
124 ;* bet Hor  ;* bet Hor                          ;*  ;02 58 47.7988212538 -64 04 16.647482898;   22.074 5.825    ;     ~
125 ;V* bet Hya ;* bet Hya                          ;a2*;11 52 54.52149 -33 54 29.2672          ;    -56.56 0.19    ; 3.85 
126 ;* bet Hyi  ;* bet Hyi                          ;PM*;00 25 45.07036 -77 15 15.2860          ; 2219.54 324.09    ; 3.52 
127 ;* bet Ind  ;* bet Ind                          ;*  ;20 54 48.6027789 -58 27 14.961814      ;   20.79 -25.20    ; 6.13 
128 ;* bet Lac  ;* bet Lac                          ;** ;22 23 33.6237466 +52 13 44.564655      ; -13.25 -186.77    ; 6.26 
129 ;* bet Leo  ;* bet Leo                          ;dS*;11 49 03.57834 +14 34 19.4090          ;-497.68 -114.67    ; 2.30 
130 ;* bet LMi  ;* bet LMi                          ;SB*;10 27 52.9995995 +36 42 25.956038      ;-127.68 -110.31    ; 5.76 
131 ;* bet Lep  ;* bet Lep                          ;** ;05 28 14.7231588 -20 45 33.987791      ;   -5.02 -86.01    ; 4.13 
132 ;* bet Lib  ;* bet Lib                          ;PM*;15 17 00.41382 -09 22 58.4919          ;  -98.10 -19.65    ; 2.14 
133 ;* bet Lup  ;* bet Lup                          ;PM*;14 58 31.92536 -43 08 02.2699          ;  -35.78 -39.83    ; 1.59 
134 ;* bet Lyr  ;* bet Lyr                          ;EB*;18 50 04.7952472 +33 21 45.609978      ;     1.90 -3.53    ; 2.85 
135 ;* bet Men  ;* bet Men                          ;*  ;05 02 42.9984744282 -71 18 51.476528649;  -4.368 10.815    ;     ~
136 ;* bet Mic  ;* bet Mic                          ;*  ;20 51 58.7618105311 -33 10 40.705762649;     7.48 -5.30    ;     ~
137 ;V* bet Mon ;* bet Mon A                        ;Be*;06 28 49.0688084600 -07 01 59.016107399;  -5.015 -2.857    ; 3.87 
138 ;* bet Mon  ;* bet Mon                          ;** ;06 28 49.06971 -07 01 59.0101          ;    -6.86 -2.76    ; 2.85 
139 ;* bet Mus  ;* bet Mus                          ;** ;12 46 16.80410 -68 06 29.2164          ;   -41.97 -8.89    ; 2.13 
140 ;* bet Oct  ;* bet Oct                          ;PM*;22 46 03.5109801 -81 22 53.811985      ;    -54.49 1.16    ;     ~
141 ;* bet Oph  ;* bet Oph                          ;PM*;17 43 28.3526482 +04 34 02.295484      ;  -41.45 159.34    ; 5.150
142 ;V* bet Ori ;* bet Ori                          ;s*b;05 14 32.27210 -08 12 05.8981          ;      1.31 0.50    ;-0.56 
143 ;* bet Pav  ;* bet Pav                          ;*  ;20 44 57.4939895 -66 12 11.570756      ;    -42.67 9.94    ;     ~
144 ;V* bet Peg ;* bet Peg                          ;LP*;23 03 46.45746 +28 04 58.0336          ;  187.65 136.93    ; 6.05 
145 ;* bet Per  ;* bet Per                          ;EB*;03 08 10.1324535 +40 57 20.328013      ;     2.99 -1.66    ; 1.70 
146 ;* bet Phe  ;* bet Phe                          ;** ;01 06 05.03952 -46 43 06.2785          ;   -80.81 34.97    ; 4.75 
147 ;* bet Pic  ;* bet Pic                          ;PM*;05 47 17.0876901 -51 03 59.441135      ;     4.65 83.10    ; 4.13 
148 ;* bet Psc  ;* bet Psc                          ;Be*;23 03 52.6134921 +03 49 12.166213      ;    11.76 -9.85    ; 3.90 
149 ;* bet PsA  ;* bet PsA                          ;PM*;22 31 30.3303825 -32 20 45.865347      ;   59.12 -18.83    ; 4.32 
150 ;* bet Pyx  ;* bet Pyx                          ;*  ;08 40 06.1436306 -35 18 30.065139      ;    9.84 -20.80    ;     ~
151 ;* bet Ret  ;* bet Ret                          ;SB*;03 44 11.9814420749 -64 48 24.890875477; 311.534 83.557    ;     ~
152 ;* bet Sge  ;* bet Sge                          ;*  ;19 41 02.9395379214 +17 28 33.750643683;  7.682 -32.987    ; 6.33 
153 ;* bet Sco  ;* bet Sco                          ;** ;16 05 26.23 -19 48 19.4                ;            ~ ~    ; 2.00 
154 ;* bet Scl  ;* bet Scl                          ;PM*;23 32 58.2589788 -37 49 05.757000      ;    95.97 38.29    ; 3.92 
155 ;* bet Sct  ;* bet Sct                          ;SB*;18 47 10.4626934070 -04 44 52.363891614;  3.188 -15.062    ; 6.15 
156 ;* bet Ser  ;* bet Ser                          ;PM*;15 46 11.2543458 +15 25 18.595866      ;   65.38 -38.61    ; 3.81 
157 ;V* bet Sex ;* bet Sex                          ;a2*;10 30 17.4798102357 -00 38 13.303782819;-38.805 -24.290    ; 4.43 
158 ;* bet Tri  ;* bet Tri                          ;SB*;02 09 32.62712 +34 59 14.2694          ;  149.16 -39.10    ; 3.26 
159 ;* bet TrA  ;* bet TrA                          ;PM*;15 55 08.5620636 -63 25 50.615531      ;-188.66 -401.85    ; 3.19 
160 ;* bet UMa  ;* bet UMa                          ;PM*;11 01 50.4765370 +56 22 56.733912      ;    81.43 33.49    ; 2.35 
161 ;* bet UMi  ;* bet UMi                          ;V* ;14 50 42.32580 +74 09 19.8142          ;   -32.61 11.42    ; 5.32 
162 ;* bet Vir  ;* bet Vir                          ;PM*;11 50 41.7185158616 +01 45 53.001539131;740.746 -270.927   ; 4.26 
163 ;* bet Vol  ;* bet Vol                          ;PM*;08 25 44.1947206 -66 08 12.804954      ; -35.74 -152.22    ;     ~
164 ;* gam And  ;* gam01 And                        ;SB*;02 03 53.95229 +42 19 47.0223          ;   42.32 -49.30    ; 4.22 
165 ;* gam Aps  ;* gam Aps                          ;PM*;16 33 27.0837870 -78 53 49.737204      ; -125.51 -78.25    ;     ~
166 ;* gam Aqr  ;* gam Aqr                          ;PM*;22 21 39.3743974795 -01 23 14.417011100;  131.516 8.610    ; 3.65 
167 ;* gam Aql  ;* gam Aql                          ;*  ;19 46 15.5802908 +10 36 47.740788      ;    16.99 -2.98    ; 5.93 
168 ;* gam Ara  ;* gam Ara                          ;Be*;17 25 23.6593111 -56 22 39.814775      ;   -0.44 -15.77    ; 2.25 
169 ;V* gam Ari ;* gam Ari                          ;a2*;01 53 31.81479 +19 17 37.8790          ;   79.20 -97.63    ;     ~
170 ;* gam Aur  ;* bet Tau                          ;PM*;05 26 17.51312 +28 36 26.8262          ;  22.76 -173.58    ; 1.03 
171 ;* gam Boo  ;* gam Boo                          ;dS*;14 32 04.6717964 +38 18 29.704270      ; -115.71 151.16    ; 3.33 
172 ;* gam Cae  ;* gam Cae                          ;** ;05 04 24.40218 -35 28 58.7161          ;  126.17 -43.67    ; 6.94 
173 ;* gam Cam  ;* gam Cam                          ;*  ;03 50 21.5089163 +71 19 56.148492      ;   18.17 -42.85    ;     ~
174 ;* gam Cnc  ;* gam Cnc                          ;PM*;08 43 17.1481991 +21 28 06.600793      ; -103.51 -39.48    ;     ~
175 ;* gam CMa  ;* gam CMa                          ;*  ;07 03 45.4930485 -15 37 59.829971      ;   -0.14 -11.36    ; 3.52 
176 ;* gam CMi  ;* gam CMi                          ;SB*;07 28 09.7930317295 +08 55 31.907956790;  -60.905 9.771    ; 7.26 
177 ;V* gam Cap ;* gam Cap                          ;a2*;21 40 05.4564778 -16 39 44.307184      ;  187.56 -22.45    ; 4.19 
178 ;V* gam Cas ;* gam Cas                          ;Be*;00 56 42.5317 +60 43 00.265            ;    25.65 -3.82    ; 1.18 
179 ;* gam Cen  ;* gam Cen                          ;** ;12 41 31.04008 -48 57 35.5375          ;   -185.72 5.79    ; 2.15 
180 ;* gam Cep  ;* gam Cep                          ;SB*;23 39 20.9015326708 +77 37 56.505477975;-62.997 171.457    ; 5.190
181 ;* gam Cet  ;* gam Cet                          ;** ;02 43 18.03910 +03 14 08.9390          ;-146.10 -146.12    ; 3.63 
182 ;* gam Cha  ;* gam Cha                          ;V* ;10 35 28.1071958 -78 36 28.032088      ;   -37.61 11.08    ; 7.65 
183 ;* gam Cir  ;* gam Cir                          ;** ;15 23 22.64294 -59 19 14.8131          ;  -12.97 -34.24    ; 4.35 
184 ;* gam Col  ;* gam Col                          ;Pu*;05 57 32.2095768 -35 16 59.815276      ;    -3.24 10.21    ; 3.52 
185 ;* gam Com  ;* gam Com                          ;PM*;12 26 56.2720731 +28 16 06.321081      ;  -83.95 -81.13    ; 6.64 
186 ;* gam CrA  ;* gam CrA                          ;** ;19 06 25.11014 -37 03 48.3901          ;  96.74 -281.71    ; 4.75 
187 ;V* gam CrB ;* gam CrB                          ;dS*;15 42 44.56551 +26 17 44.2847          ;  -111.65 49.52    ;     ~
188 ;* gam Crv  ;* gam Crv                          ;PM*;12 15 48.37081 -17 32 30.9496          ;  -158.61 21.86    ; 2.12 
189 ;* gam Crt  ;* gam Crt                          ;PM*;11 24 52.9236199 -17 41 02.429978      ;    -97.42 3.65    ;     ~
190 ;* gam Cru  ;* gam Cru                          ;PM*;12 31 09.95961 -57 06 47.5684          ;  28.23 -265.08    ; 5.01 
191 ;* gam Cyg  ;* gam Cyg                          ;V* ;20 22 13.7018357 +40 15 24.044963      ;     2.39 -0.91    ; 3.44 
192 ;* gam Del  ;* gam Del                          ;** ;20 46 39.39048 +16 07 27.6456          ;            ~ ~    ;     ~
193 ;V* gam Dor ;* gam Dor                          ;gD*;04 16 01.5882311191 -51 29 11.919063290; 99.463 183.353    ;     ~
194 ;* gam Dra  ;* gam Dra                          ;*  ;17 56 36.36988 +51 29 20.0242          ;   -8.48 -22.79    ; 5.630
195 ;* gam Equ  ;* gam Equ                          ;a2*;21 10 20.5001160337 +10 07 53.682085548;45.342 -151.506    ; 5.03 
196 ;V* gam Eri ;* gam Eri                          ;LP?;03 58 01.7669489 -13 30 30.669770      ;  61.57 -113.11    ; 6.52 
197 ;* gam Gem  ;* gam Gem                          ;SB*;06 37 42.71050 +16 23 57.4095          ;   13.81 -54.96    ; 1.98 
198 ;* gam Gru  ;* gam Gru                          ;PM*;21 53 55.7261962 -37 21 53.478974      ;   98.07 -13.22    ; 2.52 
199 ;V* gam Her ;* gam Her                          ;** ;16 21 55.2144050 +19 09 11.261793      ;   -47.39 43.81    ; 4.22 
200 ;* gam Hor  ;* gam Hor                          ;*  ;02 45 27.4779970492 -63 42 16.392474324;  18.913 -8.742    ;     ~
201 ;* gam Hya  ;* gam Hya                          ;SB*;13 18 55.2971856 -23 10 17.451401      ;   68.99 -41.85    ; 4.58 
202 ;* gam Hyi  ;* gam Hyi                          ;PM*;03 47 14.3406211 -74 14 20.268608      ;   50.85 114.74    ; 6.87 
203 ;* gam Ind  ;* gam Ind                          ;V* ;21 26 15.4390779224 -54 39 37.654828811;   1.103 39.251    ;     ~
204 ;* gam Leo  ;* gam Leo                          ;** ;10 19 58.35056 +19 50 29.3468          ; 304.30 -154.28    ;     ~
205 ;* gam Lep  ;* gam Lep                          ;PM*;05 44 27.7906169580 -22 26 54.187756254;-291.757 -368.521  ; 4.08 
206 ;* gam Lib  ;* gam Lib                          ;** ;15 35 31.5788082 -14 47 22.327851      ;     65.34 7.45    ; 5.67 
207 ;V* gam Lup ;* gam Lup                          ;El*;15 35 08.44835 -41 10 00.3247          ;  -15.62 -25.43    ; 1.76 
208 ;* gam Lyr  ;* gam Lyr                          ;*  ;18 58 56.6224137 +32 41 22.400295      ;     -3.09 1.11    ; 3.140
209 ;* gam Men  ;* gam Men                          ;PM*;05 31 52.8525856360 -76 20 27.246061076;135.924 266.877    ; 7.52 
