C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
316 ;NGC   319  ;NGC 319                            ;G  ;014.2399389286700 -43.8387661950000;  -0.138 -0.343   ;0.7153   ;6863         ;     ~   
317 ;NGC   320  ;NGC 320                            ;EmG;014.6938590796250 -20.8400489534873;            ~ ~   ;      ~  ;5459         ;     ~   
318 ;NGC   321  ;NGC 321                            ;G  ;014.4134786910700 -05.0861559911300;            ~ ~   ;      ~  ;4806         ;     ~   
319 ;NGC   322  ;NGC 322                            ;G  ;014.2917696013300 -43.7270602017800;            ~ ~   ;      ~  ;7009         ;     ~   
320 ;NGC   323  ;NGC 323                            ;GiG;014.1735261657400 -52.9759273028700;            ~ ~   ;      ~  ;7677         ;     ~   
321 ;NGC   324  ;NGC 324                            ;G  ;014.3115403247500 -40.9591121070700;   -0.553 0.728   ;      ~  ;3432         ;     ~   
322 ;NGC   325  ;NGC 325                            ;GiG;014.4495588472700 -05.1120858160200;            ~ ~   ;      ~  ;5446         ;     ~   
323 ;NGC   326  ;NGC 326                            ;rG ;014.5942910671200 +26.8663058767500;            ~ ~   ;      ~  ;14024        ;13       
324 ;NGC   327  ;NGC 327                            ;GiG;014.4806734268600 -05.1304352177400;            ~ ~   ;      ~  ;5431         ;     ~   
325 ;NGC   328  ;NGC 328                            ;GiG;014.2397477616700 -52.9238849384100;            ~ ~   ;      ~  ;7253         ;     ~   
326 ;NGC   329  ;NGC 329                            ;GiG;014.5066831912900 -05.0712838864700;            ~ ~   ;      ~  ;5208         ;     ~   
327 ;NGC   330  ;NGC 330                            ;Cl*;014.08579 -72.45347                ;            ~ ~   ;      ~  ;~            ;9.55     
328 ;NGC   331  ;NGC 331                            ;G  ;014.2658 -02.7575                  ;            ~ ~   ;      ~  ;~            ;     ~   
329 ;NGC   332  ;NGC 332                            ;G  ;014.7047129392500 +07.1112891589000;            ~ ~   ;      ~  ;5168         ;     ~   
330 ;NGC   333  ;NGC 333                            ;G  ;014.7137449773400 -16.4691533445500;            ~ ~   ;      ~  ;16226        ;     ~   
331 ;NGC   333A ;MCG-03-03-012                      ;G  ;014.7113 -16.4719                  ;            ~ ~   ;      ~  ;~            ;     ~   
332 ;NGC   333B ;MCG-03-03-013                      ;G  ;014.7250 -16.4833                  ;            ~ ~   ;      ~  ;16212        ;     ~   
333 ;NGC   334  ;NGC 334                            ;G  ;014.7075789336900 -35.1160720956000;            ~ ~   ;      ~  ;9071         ;     ~   
334 ;NGC   335  ;NGC 335                            ;G  ;014.832446 -18.234586              ;            ~ ~   ;      ~  ;5600         ;     ~   
335 ;NGC   336  ;NGC 336                            ;G  ;014.7416374393400 -18.7427077976500;  -0.094 -0.208   ;0.2292   ;2013.0       ;     ~   
336 ;NGC   337  ;NGC 337                            ;EmG;014.958708 -07.577961              ;            ~ ~   ;      ~  ;1652.1       ;11.61    
337 ;NGC   337A ;MCG-01-03-065                      ;LSB;015.391613 -07.588542              ;            ~ ~   ;      ~  ;1074.0       ;12.17    
338 ;NGC   338  ;NGC 338                            ;GiG;015.1516706050800 +30.6689661472200;            ~ ~   ;      ~  ;4777         ;     ~   
339 ;NGC   339  ;NGC 339                            ;OpC;014.45375 -74.46672                ;            ~ ~   ;      ~  ;~            ;12.21    
340 ;NGC   340  ;NGC 340                            ;EmG;015.1454262049700 -06.8665027121800;            ~ ~   ;      ~  ;6090.2       ;     ~   
341 ;NGC   341A ;NGC 341                            ;IG ;015.190888 -09.185764              ;            ~ ~   ;      ~  ;4549.0       ;     ~   
342 ;NGC   341B ;MCG-02-03-064                      ;G  ;015.1983 -09.1875                  ;            ~ ~   ;      ~  ;~            ;     ~   
343 ;NGC   342  ;NGC 342                            ;GiG;015.2077338382600 -06.7725422156500;   0.559 -0.264   ;0.2251   ;5760         ;     ~   
344 ;NGC   344  ;NGC 344                            ;G  ;015.3981622968300 -23.2647951802100;            ~ ~   ;      ~  ;16419        ;     ~   
345 ;NGC   345  ;NGC 345                            ;GiG;015.3420295399300 -06.8842607828100;            ~ ~   ;      ~  ;5228         ;     ~   
346 ;NGC   346  ;NGC 346                            ;Cl*;014.771207 -72.175900              ;            ~ ~   ;      ~  ;~            ;     ~   
347 ;NGC   347  ;NGC 347                            ;GiC;015.396479 -06.733669              ;            ~ ~   ;      ~  ;5533         ;     ~   
348 ;NGC   348  ;NGC 348                            ;G  ;015.2165508224400 -53.2444678978300;            ~ ~   ;      ~  ;8707         ;     ~   
349 ;NGC   349  ;NGC 349                            ;GiG;015.4615231319000 -06.7997351985500;            ~ ~   ;      ~  ;5681         ;     ~   
350 ;NGC   350  ;NGC 350                            ;GiG;015.4862732755900 -06.7956784298600;            ~ ~   ;      ~  ;6072         ;     ~   
351 ;NGC   351  ;NGC 351                            ;EmG;015.4909315814400 -01.9366965193600;            ~ ~   ;      ~  ;4171         ;     ~   
352 ;NGC   352  ;NGC 352                            ;GiG;015.538358 -04.245447              ;            ~ ~   ;      ~  ;5192         ;     ~   
353 ;NGC   353  ;NGC 353                            ;EmG;015.602263 -01.959056              ;            ~ ~   ;      ~  ;4137         ;     ~   
354 ;NGC   354  ;NGC 354                            ;G  ;015.8182069626100 +22.3425956479300;  -0.080 -0.848   ;      ~  ;4660         ;     ~   
355 ;NGC   355  ;NGC 355                            ;G  ;015.7790372553400 -06.3238542340300;            ~ ~   ;      ~  ;7172         ;     ~   
356 ;NGC   356  ;NGC 356                            ;GiG;015.7795526788800 -06.9883263565100;            ~ ~   ;      ~  ;5803         ;     ~   
357 ;NGC   357  ;NGC 357                            ;GiC;015.8411574041600 -06.3391899863900;            ~ ~   ;      ~  ;2441         ;     ~   
358 ;NGC   359  ;NGC 359                            ;GiG;016.0706879482300 -00.7649105991200;            ~ ~   ;      ~  ;5315         ;     ~   
359 ;NGC   360  ;NGC 360                            ;G  ;015.7144520139700 -65.6099034149900;            ~ ~   ;      ~  ;2309.1       ;     ~   
360 ;NGC   361  ;NGC 361                            ;OpC;015.55346 -71.60450                ;            ~ ~   ;      ~  ;~            ;11.77    
361 ;NGC   362  ;NGC 362                            ;GlC;015.80942 -70.84878                ;     6.71 -2.51   ;0.0789   ;223.26       ;6.58     
362 ;NGC   363  ;NGC 363                            ;G  ;016.5657916920700 -16.5427889165200;            ~ ~   ;      ~  ;10997        ;     ~   
363 ;NGC   364  ;NGC 364                            ;LIN;016.1701281120400 -00.8027472702900;            ~ ~   ;      ~  ;5074         ;     ~   
364 ;NGC   365  ;NGC 365                            ;G  ;016.0780182174600 -35.1213404545300;            ~ ~   ;      ~  ;9804         ;     ~   
365 ;NGC   366  ;NGC 366                            ;OpC;016.6240 +62.2190                  ;  -2.071 -0.425   ;0.355    ;-0.09        ;     ~   
366 ;NGC   367  ;NGC 367                            ;G  ;016.4537243252800 -12.1284978521400;            ~ ~   ;      ~  ;7693         ;     ~   
367 ;NGC   368  ;NGC 368                            ;G  ;016.0917855594300 -43.2767235041000;            ~ ~   ;      ~  ;8750         ;     ~   
368 ;NGC   369  ;NGC 369                            ;GiG;016.2870642571400 -17.7591923142900;            ~ ~   ;      ~  ;6225.1       ;     ~   
369 ;NGC   371  ;NGC 371                            ;OpC;015.8542 -72.0733                  ;            ~ ~   ;      ~  ;~            ;     ~   
370 ;NGC   373  ;NGC 373                            ;GiG;016.7425561372800 +32.3084497448100;            ~ ~   ;      ~  ;5451         ;     ~   
371 ;NGC   374  ;NGC 374                            ;GiG;016.7741314147100 +32.7950749760500;            ~ ~   ;      ~  ;4990         ;     ~   
372 ;NGC   375  ;NGC 375                            ;IG ;016.7746667857900 +32.3481103404300;    1.121 0.958   ;0.9049   ;5798         ;     ~   
373 ;NGC   376  ;NGC 376                            ;Cl*;015.95921 -72.82597                ;            ~ ~   ;      ~  ;~            ;10.90    
374 ;NGC   378  ;NGC 378                            ;G  ;016.5508032368759 -30.1781383001086;            ~ ~   ;      ~  ;9458         ;     ~   
375 ;NGC   379  ;NGC 379                            ;GiG;016.8154394169400 +32.5204498010700;            ~ ~   ;      ~  ;5527         ;     ~   
376 ;NGC   380  ;NGC 380                            ;GiG;016.8233374215100 +32.4829026013300;            ~ ~   ;      ~  ;4406         ;     ~   
377 ;NGC   381  ;NGC 381                            ;OpC;017.0829 +61.5839                  ;   1.602 -2.263   ;0.847    ;-22.4        ;9.3      
378 ;NGC   382  ;NGC 382                            ;GiP;016.85033 +32.40394                ;            ~ ~   ;      ~  ;5196         ;     ~   
379 ;NGC   383  ;NGC 383                            ;rG ;016.8540199228500 +32.4125368295000;            ~ ~   ;      ~  ;5052         ;12.14    
380 ;NGC   384  ;NGC 384                            ;GiG;016.8542229233000 +32.2927405296800;            ~ ~   ;      ~  ;4203         ;     ~   
381 ;NGC   385  ;NGC 385                            ;GiG;016.8634589123900 +32.3198640427700;            ~ ~   ;      ~  ;4932         ;     ~   
382 ;NGC   386  ;NGC 386                            ;GiG;016.8804481519300 +32.3619269089000;            ~ ~   ;      ~  ;5504         ;     ~   
383 ;NGC   387  ;NGC 387                            ;GiG;016.8877149931800 +32.3910503467900;            ~ ~   ;      ~  ;4785         ;     ~   
384 ;NGC   388  ;NGC 388                            ;GiG;016.9464816599500 +32.3099312235600;            ~ ~   ;      ~  ;5395         ;     ~   
385 ;NGC   389  ;NGC 389                            ;GiG;017.1247219180800 +39.6954295580700;            ~ ~   ;      ~  ;5261         ;     ~   
386 ;NGC   390  ;NGC 390                            ;GiG;017.0539720871600 +32.4536278472500;            ~ ~   ;      ~  ;4807         ;     ~   
387 ;NGC   391  ;NGC 391                            ;GiG;016.8440745959400 +00.9259574382700;            ~ ~   ;      ~  ;5298         ;     ~   
388 ;NGC   392  ;NGC 392                            ;GiG;017.097786 +33.133683              ;            ~ ~   ;      ~  ;4672         ;12.71    
389 ;NGC   393  ;NGC 393                            ;GiG;017.1539777148800 +39.6442383292300;            ~ ~   ;      ~  ;6011         ;     ~   
390 ;NGC   394  ;NGC 394                            ;GiG;017.1084662505300 +33.1479440735300;            ~ ~   ;      ~  ;4467         ;13.83    
391 ;NGC   395  ;NGC 395                            ;As*;016.2833 -71.9969                  ;            ~ ~   ;      ~  ;~            ;     ~   
392 ;NGC   396  ;NGC 396                            ;G  ;017.0350859516300 +04.5309177112600;            ~ ~   ;      ~  ;~            ;     ~   
393 ;NGC   397  ;NGC 397                            ;GiG;017.1296671488700 +33.1091777185800;    0.925 0.535   ;0.2995   ;4909         ;14.58    
394 ;NGC   398  ;NGC 398                            ;GiG;017.2236917272900 +32.5145218195700;            ~ ~   ;      ~  ;4944         ;     ~   
395 ;NGC   399  ;NGC 399                            ;GiG;017.2466976766200 +32.6342345649900;            ~ ~   ;      ~  ;5174         ;     ~   
396 ;NGC   403  ;NGC 403                            ;GiG;017.3089792110500 +32.7520904502900;            ~ ~   ;      ~  ;5033         ;     ~   
397 ;NGC   404  ;NGC 404                            ;LIN;017.3629 +35.7181                  ;            ~ ~   ;      ~  ;-32          ;11.73    
398 ;NGC   406  ;NGC 406                            ;G  ;016.854417 -69.879242              ;            ~ ~   ;      ~  ;1505.7       ;     ~   
399 ;NGC   407  ;NGC 407                            ;GiG;017.652425 +33.126433              ;            ~ ~   ;      ~  ;5530         ;     ~   
400 ;NGC   408  ;NGC 408                            ;GiG;017.7108019446200 +33.1134204651500;            ~ ~   ;      ~  ;5245         ;     ~   
401 ;NGC   409  ;NGC 409                            ;GiG;017.3883817831000 -35.8055841689600;            ~ ~   ;      ~  ;6509         ;     ~   
402 ;NGC   410  ;NGC 410                            ;GiG;017.7454235386300 +33.1519594105700;            ~ ~   ;      ~  ;5233         ;11.48    
403 ;NGC   411  ;NGC 411                            ;Cl*;016.98312 -71.76792                ;            ~ ~   ;      ~  ;~            ;12.10    
404 ;NGC   412  ;NGC 412                            ;G  ;016.646225 -20.332222              ;            ~ ~   ;      ~  ;15622        ;     ~   
405 ;NGC   413  ;NGC 413                            ;GiG;018.1307779999200 -02.7934335172300;            ~ ~   ;      ~  ;5758         ;     ~   
406 ;NGC   414  ;NGC 414                            ;GiG;017.8228074775600 +33.1138596323800;            ~ ~   ;      ~  ;4708         ;     ~   
407 ;NGC   414B ;LEDA 93079                         ;GiP;017.82479 +33.11225                ;            ~ ~   ;      ~  ;5055         ;     ~   
408 ;NGC   415  ;NGC 415                            ;GiG;017.5236213957600 -35.4908684093500;            ~ ~   ;      ~  ;6462         ;     ~   
409 ;NGC   416  ;NGC 416                            ;Cl*;016.9958 -72.3556                  ;            ~ ~   ;      ~  ;~            ;11.76    
410 ;NGC   417  ;NGC 417                            ;LIN;017.7731248710900 -18.1483063449300;            ~ ~   ;      ~  ;12703        ;     ~   
411 ;NGC   418  ;NGC 418                            ;EmG;017.6484650665159 -30.2210286334953;            ~ ~   ;      ~  ;5698.4       ;     ~   
412 ;NGC   419  ;NGC 419                            ;OpC;017.07413 -72.88411                ;            ~ ~   ;      ~  ;~            ;10.50    
413 ;NGC   420  ;NGC 420                            ;GiG;018.0401548201800 +32.1231631281700;            ~ ~   ;      ~  ;5013         ;     ~   
414 ;NGC   422  ;NGC 422                            ;OpC;017.35208 -71.76639                ;            ~ ~   ;      ~  ;~            ;13.26    
415 ;NGC   423  ;NGC 423                            ;G  ;017.8426319903000 -29.2345715016500;            ~ ~   ;      ~  ;1585         ;     ~   
416 ;NGC   424  ;NGC 424                            ;Sy2;017.8651604272900 -38.0834503045900;   0.227 -1.389   ;0.3441   ;3528.6       ;14.12    
417 ;NGC   425  ;NGC 425                            ;GiG;018.2607922392700 +38.7684151453200;            ~ ~   ;      ~  ;6345         ;     ~   
418 ;NGC   426  ;NGC 426                            ;LIN;018.2025103971800 -00.2902036214900;   0.610 -0.152   ;      ~  ;5212         ;15.58    
419 ;NGC   427  ;NGC 427                            ;Sy1;018.0802620030400 -32.0611472699400;  -0.682 -1.123   ;0.3129   ;9947         ;     ~   
420 ;NGC   428  ;NGC 428                            ;AGN;018.232121 +00.981581              ;            ~ ~   ;      ~  ;1151.4       ;     ~   
421 ;NGC   429  ;NGC 429                            ;GiG;018.2392838285100 -00.3450033313600;            ~ ~   ;      ~  ;5574         ;     ~   
422 ;NGC   430  ;NGC 430                            ;GiG;018.2497054595600 -00.2525010471000;            ~ ~   ;      ~  ;5354         ;     ~   
423 ;NGC   431  ;NGC 431                            ;G  ;018.5188959055600 +33.7042376261900;            ~ ~   ;      ~  ;5695         ;     ~   
424 ;NGC   432  ;NGC 432                            ;BiC;017.9429087041800 -61.5276837932800;            ~ ~   ;      ~  ;7967         ;     ~   
425 ;NGC   433  ;NGC 433                            ;OpC;018.7980 +60.1330                  ;  -1.422 -0.720   ;0.463    ;-36.91       ;     ~   
426 ;NGC   433A ;NGC 433A                           ;MoC;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
427 ;NGC   433B ;NGC 433B                           ;MoC;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
428 ;NGC   433C ;NGC 433C                           ;MoC;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
429 ;NGC   433D ;NGC 433D                           ;MoC;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
430 ;NGC   434  ;NGC 434                            ;GiG;018.0588904763400 -58.2480294283300;            ~ ~   ;      ~  ;4789.0       ;     ~   
431 ;NGC   434A ;ESO 113-24                         ;IG ;018.12517 -58.20808                ;            ~ ~   ;      ~  ;4714         ;     ~   
432 ;NGC   435  ;NGC 435                            ;GiG;018.4994013738900 +02.0715119420400;            ~ ~   ;      ~  ;10258        ;     ~   
433 ;NGC   436  ;NGC 436                            ;OpC;019.0010 +58.8200                  ;  -0.986 -0.577   ;0.262    ;-74.4        ;8.8      
434 ;NGC   437  ;NGC 437                            ;GiG;018.5928475667500 +05.9269539964400;    0.236 0.396   ;0.0048   ;5243         ;     ~   
435 ;NGC   438  ;NGC 438                            ;G  ;018.3923170792400 -37.9016561391100;            ~ ~   ;      ~  ;3445         ;     ~   
436 ;NGC   439  ;NGC 439                            ;BiC;018.4469728016300 -31.7472061284800;            ~ ~   ;      ~  ;5693         ;     ~   
437 ;NGC   440  ;NGC 440                            ;GiG;018.2021457201100 -58.2823364010900;            ~ ~   ;      ~  ;4989         ;     ~   
438 ;NGC   441  ;NGC 441                            ;BiC;018.4635514740600 -31.7883627581000;            ~ ~   ;      ~  ;5608         ;     ~   
439 ;NGC   442  ;NGC 442                            ;GiG;018.6610137709300 -01.0206536468100;            ~ ~   ;      ~  ;5518         ;     ~   
440 ;NGC   443  ;NGC 443                            ;GiG;018.7816918434300 +33.3772490452500;            ~ ~   ;      ~  ;4786         ;     ~   
441 ;NGC   444  ;NGC 444                            ;GiC;018.956600 +31.080231              ;            ~ ~   ;      ~  ;4809.7       ;     ~   
442 ;NGC   445  ;NGC 445                            ;GiG;018.7187225725300 +01.9174092353300;            ~ ~   ;      ~  ;11244        ;     ~   
443 ;NGC   446  ;NGC 446                            ;AGN;019.0151246810500 +04.2941575494200;            ~ ~   ;      ~  ;5470         ;     ~   
444 ;NGC   447  ;NGC 447                            ;GiG;018.9068733719800 +33.0677926951700;            ~ ~   ;      ~  ;5599         ;     ~   
445 ;NGC   448  ;NGC 448                            ;GiP;018.8188306612900 -01.6262455824400;            ~ ~   ;      ~  ;1914         ;     ~   
446 ;NGC   449  ;NGC 449                            ;Sy2;019.0300437831400 +33.0893469487800;            ~ ~   ;      ~  ;4771         ;14.96    
447 ;NGC   450  ;NGC 450                            ;H2G;018.8769020985700 -00.8608681276600;            ~ ~   ;      ~  ;1761.0       ;     ~   
448 ;NGC   451  ;NGC 451                            ;GiG;019.051646 +33.064097              ;            ~ ~   ;      ~  ;4849         ;     ~   
449 ;NGC   452  ;NGC 452                            ;Sy2;019.0616715441400 +31.0337957517500;            ~ ~   ;      ~  ;5348         ;     ~   
450 ;NGC   454  ;NGC 454                            ;PaG;018.59554 -55.39872                ;            ~ ~   ;      ~  ;3560         ;     ~   
451 ;NGC   454E ;LEDA 4468                          ;Sy2;018.6038985943000 -55.3970302879600;  -1.753 -3.447   ;2.3328   ;3633         ;13.58    
452 ;NGC   454W ;LEDA 4461                          ;GiP;018.5917 -55.4006                  ;            ~ ~   ;      ~  ;3626         ;     ~   
453 ;NGC   455  ;NGC 455                            ;IG ;018.9901990402500 +05.1786735502800;            ~ ~   ;      ~  ;5231         ;     ~   
454 ;NGC   456  ;NGC 456                            ;HII;018.4350 -73.2906                  ;            ~ ~   ;      ~  ;~            ;     ~   
455 ;NGC   457  ;NAME ET Cluster                    ;OpC;019.8870 +58.2780                  ;  -1.586 -0.661   ;0.318    ;-11.57       ;6.4      
456 ;NGC   458  ;NGC 458                            ;OpC;018.72233 -71.54964                ;            ~ ~   ;      ~  ;~            ;11.66    
457 ;NGC   459  ;NGC 459                            ;G  ;019.5341415701500 +17.5623151501700;            ~ ~   ;      ~  ;12708        ;     ~   
458 ;NGC   460  ;NGC 460                            ;Cl*;018.6733 -73.2976                  ;            ~ ~   ;      ~  ;~            ;     ~   
459 ;NGC   460A ;NGC 460A                           ;~  ;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
460 ;NGC   460B ;NGC 460B                           ;G  ;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
461 ;NGC   461  ;NGC 461                            ;G  ;019.33554 -33.84033                ;            ~ ~   ;      ~  ;5702.9       ;     ~   
462 ;NGC   462  ;NGC 462                            ;G  ;019.5458021824600 +04.2260885742600;            ~ ~   ;      ~  ;13615        ;     ~   
463 ;NGC   463  ;NGC 463                            ;GiG;019.7425439158800 +16.3254842777400;            ~ ~   ;      ~  ;6360         ;     ~   
464 ;NGC   464  ;NGC 464                            ;G  ;019.7764461077100 +34.9465472606700;   0.054 -0.232   ;      ~  ;~            ;     ~   
465 ;NGC   465  ;NGC 465                            ;OpC;018.9250 -73.3283                  ;            ~ ~   ;      ~  ;~            ;     ~   
466 ;NGC   466  ;NGC 466                            ;GiG;019.3051325302100 -58.9098968964900;            ~ ~   ;      ~  ;5214         ;     ~   
467 ;NGC   467  ;NGC 467                            ;GiG;019.7922854448700 +03.3007312889700;            ~ ~   ;      ~  ;5443         ;11.85    
468 ;NGC   468  ;NGC 468                            ;GiG;019.9516648148900 +32.7679054241600;   -1.269 0.838   ;1.8065   ;5026         ;     ~   
469 ;NGC   469  ;NGC 469                            ;LSB;019.887675 +14.870772              ;            ~ ~   ;      ~  ;4093         ;     ~   
470 ;NGC   470  ;NGC 470                            ;GiP;019.9368859429300 +03.4100075490400;            ~ ~   ;      ~  ;2585         ;11.78    
471 ;NGC   471  ;NGC 471                            ;rG ;019.9983161421400 +14.7861985152200;   -0.452 4.811   ;      ~  ;4171         ;     ~   
472 ;NGC   472  ;NGC 472                            ;GiG;020.1195744682700 +32.7090782035600;  -0.125 -0.767   ;0.0006   ;5243         ;     ~   
473 ;NGC   473  ;NGC 473                            ;LSB;019.9794154123500 +16.5448010726500;            ~ ~   ;      ~  ;2133         ;12.63    
474 ;NGC   474  ;NGC 474                            ;GiP;020.0278627168800 +03.4155172147500;            ~ ~   ;      ~  ;2412         ;11.51    
475 ;NGC   475  ;NGC 475                            ;BiC;020.0083485626400 +14.8610645383900;            ~ ~   ;      ~  ;15667        ;     ~   
476 ;NGC   476  ;NGC 476                            ;GiG;020.0829279915200 +16.0201457811700;            ~ ~   ;      ~  ;6337         ;     ~   
477 ;NGC   477  ;NGC 477                            ;Sy2;020.3347543924500 +40.4881705947800;            ~ ~   ;      ~  ;5868.7       ;     ~   
478 ;NGC   478  ;NGC 478                            ;EmG;020.0369124241600 -22.3774602913900;            ~ ~   ;      ~  ;6774         ;     ~   
479 ;NGC   479  ;NGC 479                            ;GiC;020.3156366818400 +03.8623320969600;            ~ ~   ;      ~  ;5233         ;     ~   
480 ;NGC   480  ;NGC 480                            ;G  ;020.1432915913000 -09.8802237113000;            ~ ~   ;      ~  ;12594        ;     ~   
481 ;NGC   481  ;NGC 481                            ;GiC;020.3021321534500 -09.2111899315500;            ~ ~   ;      ~  ;5482         ;     ~   
482 ;NGC   482  ;NGC 482                            ;G  ;020.0850892562300 -40.9661007724600;            ~ ~   ;      ~  ;6500         ;     ~   
483 ;NGC   483  ;NGC 483                            ;GiG;020.4846190627000 +33.5210063183000;            ~ ~   ;      ~  ;4628         ;     ~   
484 ;NGC   484  ;NGC 484                            ;GiG;019.8947245161000 -58.5244194425900;            ~ ~   ;      ~  ;5128         ;     ~   
485 ;NGC   485  ;NGC 485                            ;GiG;020.364975 +07.018058              ;            ~ ~   ;      ~  ;2248         ;     ~   
486 ;NGC   486  ;NGC 486                            ;G  ;020.543975 +05.411447              ;            ~ ~   ;      ~  ;13912        ;     ~   
487 ;NGC   487  ;NGC 487                            ;GiG;020.4795818630300 -16.3703272582700;            ~ ~   ;      ~  ;5872         ;     ~   
488 ;NGC   488  ;NGC 488                            ;GiG;020.4449863055100 +05.2568397270900;            ~ ~   ;      ~  ;2270         ;     ~   
489 ;NGC   489  ;NGC 489                            ;GiG;020.4745431868500 +09.2066286817500;            ~ ~   ;      ~  ;2517         ;     ~   
490 ;NGC   490  ;NGC 490                            ;GiC;020.5119690965000 +05.3671638288700;            ~ ~   ;      ~  ;2217         ;14.48    
491 ;NGC   491  ;NGC 491                            ;GiG;020.3351066437100 -34.0633424136400;            ~ ~   ;      ~  ;3859         ;12.54    
492 ;NGC   491A ;ESO 352-46                         ;LSB;020.020887 -33.900253              ;            ~ ~   ;      ~  ;3588.1       ;     ~   
493 ;NGC   492  ;NGC 492                            ;GiC;020.5564959413400 +05.4170369840500;            ~ ~   ;      ~  ;13888        ;     ~   
494 ;NGC   492a ;NGC 492a                           ;G  ;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
495 ;NGC   493  ;NGC 493                            ;GiC;020.537437 +00.945336              ;            ~ ~   ;      ~  ;2343.5       ;     ~   
496 ;NGC   494  ;NGC 494                            ;GiG;020.7306657681100 +33.1738887329700;            ~ ~   ;      ~  ;5372         ;     ~   
497 ;NGC   495  ;NGC 495                            ;GiG;020.7331586471000 +33.4714014085100;            ~ ~   ;      ~  ;4073         ;     ~   
498 ;NGC   496  ;NGC 496                            ;GiG;020.7982803465300 +33.5292825294400;            ~ ~   ;      ~  ;6011.7       ;     ~   
499 ;NGC   497  ;NGC 497                            ;LIN;020.5990705582600 -00.8752126671500;            ~ ~   ;      ~  ;8020         ;     ~   
500 ;NGC   498  ;NGC 498                            ;GiC;020.7969416842500 +33.4893290222600;            ~ ~   ;      ~  ;6088         ;     ~   
501 ;NGC   499  ;NGC 499                            ;LIN;020.7978978173600 +33.4601822867500;            ~ ~   ;      ~  ;4372.0       ;12.3     
502 ;NGC   500  ;NGC 500                            ;GiC;020.6640171943300 +05.3872106436300;            ~ ~   ;      ~  ;12077        ;     ~   
503 ;NGC   501  ;NGC 501                            ;GiG;020.8433550826000 +33.4329623918100;   0.304 -0.126   ;      ~  ;4924         ;     ~   
504 ;NGC   502  ;NGC 502                            ;GiG;020.7314911233300 +09.0491778621300;            ~ ~   ;      ~  ;2472         ;     ~   
505 ;NGC   503  ;NGC 503                            ;GiG;020.8684386559100 +33.3318333867900;            ~ ~   ;      ~  ;5862         ;     ~   
506 ;NGC   504  ;NGC 504                            ;GiG;020.8662780218300 +33.2043641824600;            ~ ~   ;      ~  ;4196         ;     ~   
507 ;NGC   505  ;NGC 505                            ;G  ;020.7379427045000 +09.4689051627500;   0.554 -0.098   ;      ~  ;5491         ;     ~   
508 ;NGC   507  ;NGC 507                            ;BiC;020.916458 +33.256172              ;            ~ ~   ;      ~  ;4885         ;     ~   
509 ;NGC   508  ;NGC 508                            ;GiG;020.9190585409600 +33.2806896234800;            ~ ~   ;      ~  ;5451         ;     ~   
510 ;NGC   509  ;NGC 509                            ;GiG;020.8504750895300 +09.4336353548400;            ~ ~   ;      ~  ;2264         ;     ~   
511 ;NGC   511  ;NGC 511                            ;G  ;020.8780371321800 +11.2909764301800;            ~ ~   ;      ~  ;11163        ;     ~   
512 ;NGC   512  ;NGC 512                            ;GiG;020.9988209926100 +33.9078287546800;            ~ ~   ;      ~  ;4856         ;     ~   
513 ;NGC   513  ;NGC 513                            ;Sy2;021.1116889669500 +33.7995068095100;            ~ ~   ;      ~  ;5807         ;13.40    
514 ;NGC   514  ;NGC 514                            ;H2G;021.0162356195600 +12.9174584184900;  -0.328 -0.710   ;      ~  ;2471         ;11.65    
515 ;NGC   515  ;NGC 515                            ;GiG;021.1604386915900 +33.4727683951800;   1.507 -0.161   ;      ~  ;5053         ;     ~   
516 ;NGC   516  ;NGC 516                            ;GiP;021.0336674003000 +09.5517771710500;  -0.454 -0.211   ;      ~  ;2422         ;     ~   
517 ;NGC   517  ;NGC 517                            ;GiG;021.182524 +33.429595              ;            ~ ~   ;      ~  ;4169         ;     ~   
518 ;NGC   518  ;NGC 518                            ;GiG;021.0735432298800 +09.3308901892900;            ~ ~   ;      ~  ;2702         ;     ~   
519 ;NGC   519  ;NGC 519                            ;GiG;021.1193309416700 -01.6412660176200;            ~ ~   ;      ~  ;5276         ;     ~   
520 ;NGC   520  ;NGC 520                            ;IG ;021.146129 +03.792411              ;            ~ ~   ;      ~  ;2121         ;11.42    
521 ;NGC   520A ;VV 231a                            ;GiP;021.1438 +03.7897                  ;            ~ ~   ;      ~  ;2276         ;     ~   
522 ;NGC   520B ;VV 231b                            ;GiP;021.14267 +03.79600                ;            ~ ~   ;      ~  ;2257         ;     ~   
