531188633,0,0
,1798476,2.9010127,38.1330356
,1019728,0.4858092,1.4844727
,124532,4.830081,36.648563
,42064,5.41055,2.96895
,37715,6.09222,35.16409
,33785,1.24489,76.26607
,16483,0.00008,491.55793
,9199,4.9375,39.6175
,8994,0.2746,175.1661
,4216,1.9871,73.2971
,3365,1.0359,33.6796
,2285,4.2061,4.4534
,1434,2.7834,74.7816
,900,2.076,109.946
,745,3.19,71.813
,506,5.748,114.399
,400,0.35,1021.249
,345,3.462,41.102
,340,3.304,77.751
,323,2.248,32.195
,306,0.497,0.521
,287,4.505,0.048
,282,2.246,146.594
,267,4.889,0.963
,252,5.782,388.465
,245,1.247,9.561
,233,2.505,137.033
,227,1.797,453.425
,170,3.324,108.461
,151,2.192,33.94
,150,2.997,5.938
,148,0.859,111.43
,119,3.677,2.448
,109,2.416,183.243
,103,0.041,0.261
,103,4.404,70.328
,102,5.705,0.112
